original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement.,"""Martin Luther King Jr. was intended to be the initial leader of the Civil Rights Movement.""","Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement, as he was initially chosen as a temporary spokesperson for the Montgomery Bus Boycott.",Martin Luther King Jr. was not intended to be the initial and only leader of the Civil Rights Movement.,0.79,0.44000000000000006,0.85,0.85,"[0.8, 0.8, 0.75, 0.8, 0.8]","[0.5, 0.4, 0.6, 0.3, 0.4]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.85, 0.85, 0.85, 0.85, 0.85]"
There is at least one Earth-like planet within 20 light years of Earth.,There is no Earth-like planet within 20 light years of Earth.,There is at least one Earth-like planet within 10 light years of Earth.,There is at least one Earth-like planet.,0.5900000000000001,0.64,0.27,0.8800000000000001,"[0.5, 0.6, 0.65, 0.5, 0.7]","[0.7, 0.6, 0.6, 0.6, 0.7]","[0.3, 0.2, 0.3, 0.25, 0.3]","[0.8, 0.85, 0.9, 0.95, 0.9]"
There exists at least one form of extraterrestrial microbial life in our solar system beyond Earth.,There does not exist any form of extraterrestrial microbial life in our solar system beyond Earth.,There exists at least one form of extraterrestrial microbial life in our solar system beyond Earth that is capable of surviving in extreme environments.,There exists microbial life in our solar system.,0.2,0.5,0.27999999999999997,0.18,"[0.1, 0.2, 0.2, 0.2, 0.3]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.2, 0.5, 0.3, 0.2, 0.2]","[0.2, 0.1, 0.2, 0.2, 0.2]"
Life exists on other planets within our Milky Aay galaxy.,Life does not exist on other planets within our Milky Way galaxy.,Life exists on other planets within our Milky Way galaxy that are similar in conditions to Earth.,Life exists on other planets.,0.44000000000000006,0.3,0.16,0.42000000000000004,"[0.5, 0.5, 0.2, 0.5, 0.5]","[0.2, 0.2, 0.5, 0.5, 0.1]","[0.1, 0.1, 0.2, 0.1, 0.3]","[0.5, 0.1, 0.5, 0.5, 0.5]"
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.38,0.56,0.33999999999999997,0.8400000000000001,"[0.4, 0.4, 0.4, 0.4, 0.3]","[0.6, 0.6, 0.5, 0.5, 0.6]","[0.3, 0.4, 0.3, 0.4, 0.3]","[0.8, 0.85, 0.85, 0.85, 0.85]"
A platypus has more than 1000 genes associated with its venom.,A platypus does not have more than 1000 genes associated with its venom.,A platypus has more than 1000 genes specifically associated with its venom that are unique to its species.,A platypus has genes associated with its venom.,0.25999999999999995,0.9099999999999999,0.30000000000000004,0.99,"[0.3, 0.4, 0.2, 0.2, 0.2]","[0.9, 0.85, 0.95, 0.9, 0.95]","[0.3, 0.5, 0.4, 0.2, 0.1]","[1.0, 0.95, 1.0, 1.0, 1.0]"
The rate of star formation in the universe has significantly decreased over the past 11 billion years.,The rate of star formation in the universe has not significantly decreased over the past 11 billion years.,The rate of star formation in the universe has significantly decreased by at least 50% over the past 11 billion years.,The rate of star formation in the universe has changed over the past 11 billion years.,0.95,0.12,0.9,0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.1, 0.1, 0.2, 0.1, 0.1]","[0.9, 0.85, 0.9, 0.95, 0.9]","[0.95, 0.95, 0.95, 0.95, 0.95]"
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.86,0.21000000000000002,0.8299999999999998,0.85,"[0.85, 0.85, 0.9, 0.85, 0.85]","[0.25, 0.2, 0.2, 0.2, 0.2]","[0.85, 0.85, 0.8, 0.8, 0.85]","[0.8, 0.85, 0.85, 0.85, 0.9]"
Julius Caesar might have survived the Ides of March had the plot been discovered even a day earlier.,Julius Caesar could not have survived the Ides of March even if the plot had been discovered a day earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered at least two days earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered earlier.,0.6,0.6,0.49000000000000005,0.63,"[0.6, 0.6, 0.6, 0.6, 0.6]","[0.4, 0.6, 0.6, 0.7, 0.7]","[0.5, 0.5, 0.45, 0.5, 0.5]","[0.6, 0.7, 0.65, 0.6, 0.6]"
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.55,0.06999999999999999,0.5,0.9960000000000001,"[0.5, 0.5, 0.75, 0.5, 0.5]","[0.05, 0.05, 0.05, 0.1, 0.1]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.99, 1.0, 0.99, 1.0, 1.0]"
There is intelligent extraterrestrial life within our galaxy.,There is not intelligent extraterrestrial life within our galaxy.,There is intelligent extraterrestrial life within our galaxy that is capable of communicating with humans.,There is extraterrestrial life within our galaxy.,0.44000000000000006,0.5,0.08,0.5,"[0.5, 0.5, 0.5, 0.5, 0.2]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.05, 0.05, 0.1, 0.1, 0.1]","[0.5, 0.5, 0.5, 0.5, 0.5]"
Dark matter accounts for approximately 85% of the matter composition in the universe.,Dark matter does not account for approximately 85% of the matter composition in the universe.,"Dark matter accounts for approximately 85% of the matter composition in the universe, specifically in regions of space with low baryonic matter density.",Dark matter accounts for a significant portion of the matter composition in the universe.,0.95,0.06000000000000001,0.86,0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.1, 0.1, 0.0, 0.1, 0.0]","[0.85, 0.9, 0.85, 0.85, 0.85]","[0.95, 0.95, 0.95, 0.95, 0.95]"
The Hanging Gardens of Babylon were actually located in the city of Nineveh.,The Hanging Gardens of Babylon were not actually located in the city of Nineveh.,The Hanging Gardens of Babylon were actually located in the city of Nineveh and were built during the reign of King Sennacherib.,The Hanging Gardens of Babylon were located in a city in ancient Mesopotamia.,0.52,0.7399999999999999,0.38,0.93,"[0.6, 0.4, 0.6, 0.4, 0.6]","[0.7, 0.7, 0.7, 0.8, 0.8]","[0.4, 0.3, 0.4, 0.3, 0.5]","[0.95, 0.9, 0.9, 0.95, 0.95]"
Half of all marriages in the United States end in divorce.,Half of all marriages in the United States do not end in divorce.,Half of all marriages in the United States end in divorce within the first five years.,Many marriages in the United States end in divorce.,0.6000000000000001,0.68,0.32,0.8300000000000001,"[0.5, 0.6, 0.6, 0.7, 0.6]","[0.7, 0.7, 0.6, 0.7, 0.7]","[0.3, 0.4, 0.2, 0.3, 0.4]","[0.8, 0.85, 0.8, 0.85, 0.85]"
"""The existence of extraterrestrial life in our universe.""","""The non-existence of extraterrestrial life in our universe.""","""The existence of intelligent extraterrestrial life in our universe.""","""The existence of life in our universe.""",0.5,0.12,0.5,1.0,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.1, 0.2, 0.1, 0.1, 0.1]","[0.5, 0.5, 0.5, 0.5, 0.5]","[1.0, 1.0, 1.0, 1.0, 1.0]"
Venus hosts a form of microbial life within its atmosphere.,Venus does not host a form of microbial life within its atmosphere.,Venus hosts a specific form of microbial life that thrives in the upper atmosphere at temperatures between 20 to 30 degrees Celsius.,Venus hosts some form of life within its atmosphere.,0.18,0.71,0.09,0.16,"[0.2, 0.2, 0.2, 0.2, 0.1]","[0.7, 0.7, 0.7, 0.75, 0.7]","[0.1, 0.05, 0.1, 0.1, 0.1]","[0.1, 0.1, 0.2, 0.2, 0.2]"
Dolphins are considered one of the most intelligent species on the planet.,Dolphins are not considered one of the most intelligent species on the planet.,"Dolphins are considered one of the most intelligent species on the planet, exhibiting problem-solving skills comparable to those of great apes.",Dolphins are considered one of the intelligent species on the planet.,0.9200000000000002,0.12,0.89,0.95,"[0.9, 0.9, 0.9, 0.95, 0.95]","[0.1, 0.1, 0.2, 0.1, 0.1]","[0.9, 0.9, 0.9, 0.9, 0.85]","[0.95, 0.95, 0.95, 0.95, 0.95]"
Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth.,Earth-sized planets within the habitable zone of their stars do not commonly have magnetic fields similar in strength to that of Earth.,"Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth, specifically within 10% of Earth's magnetic field strength.",Earth-sized planets within the habitable zone of their stars can have magnetic fields.,0.33999999999999997,0.75,0.3,0.85,"[0.3, 0.3, 0.4, 0.4, 0.3]","[0.75, 0.75, 0.75, 0.7, 0.8]","[0.3, 0.3, 0.3, 0.3, 0.3]","[0.85, 0.85, 0.85, 0.85, 0.85]"
Aliens exist in the observable universe.,Aliens do not exist in the observable universe.,Intelligent aliens exist in the observable universe.,Life exists in the observable universe.,0.52,0.5,0.5,1.0,"[0.5, 0.5, 0.5, 0.6, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]","[1.0, 1.0, 1.0, 1.0, 1.0]"
Pluto has underground oceans containing microbial life.,Pluto does not have underground oceans containing microbial life.,Pluto has underground oceans containing microbial life that can survive extreme cold temperatures.,Pluto has underground oceans.,0.09,0.6900000000000001,0.18,0.7200000000000001,"[0.1, 0.1, 0.05, 0.1, 0.1]","[0.7, 0.7, 0.6, 0.75, 0.7]","[0.1, 0.2, 0.2, 0.2, 0.2]","[0.75, 0.7, 0.75, 0.7, 0.7]"
Dietary factors are the leading cause of kidney stones.,Dietary factors are not the leading cause of kidney stones.,Dietary factors are the leading cause of calcium oxalate kidney stones.,Dietary factors are a common cause of kidney stones.,0.6599999999999999,0.7200000000000001,0.75,0.8699999999999999,"[0.6, 0.7, 0.6, 0.7, 0.7]","[0.7, 0.75, 0.75, 0.7, 0.7]","[0.8, 0.75, 0.75, 0.7, 0.75]","[0.9, 0.9, 0.85, 0.85, 0.85]"
Most adults can hold their breath for 30 seconds.,Most adults cannot hold their breath for 30 seconds.,Most adults can hold their breath for 30 seconds while remaining completely still.,Some adults can hold their breath for 30 seconds.,0.85,0.06999999999999999,0.85,1.0,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.1, 0.1, 0.05, 0.05, 0.05]","[0.85, 0.85, 0.85, 0.85, 0.85]","[1.0, 1.0, 1.0, 1.0, 1.0]"
Water vapor is the largest contributor to the Earth's greenhouse effect.,Water vapor is not the largest contributor to the Earth's greenhouse effect.,"Water vapor is the largest contributor to the Earth's greenhouse effect, accounting for at least 70% of the total greenhouse effect.",Water vapor contributes to the Earth's greenhouse effect.,0.95,0.0,0.8800000000000001,1.0,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.9, 0.85, 0.9, 0.85, 0.9]","[1.0, 1.0, 1.0, 1.0, 1.0]"
"The painting ""Mona Lisa"" was actually completed in 1519, not 1506.","The painting ""Mona Lisa"" was not actually completed in 1519, but rather in 1506.","The painting ""Mona Lisa"" was actually completed in 1519, not 1506, and this conclusion is supported by historical records from the Louvre Museum.","The painting ""Mona Lisa"" was completed in the early 1500s.",0.27999999999999997,0.3,0.3,0.95,"[0.4, 0.3, 0.2, 0.3, 0.2]","[0.2, 0.5, 0.3, 0.2, 0.3]","[0.3, 0.4, 0.3, 0.3, 0.2]","[0.95, 0.95, 0.95, 0.95, 0.95]"
Humans will discover evidence of microbial life on Mars.,Humans will not discover evidence of microbial life on Mars.,Humans will discover definitive evidence of complex microbial life on Mars.,Humans will discover evidence of life on Mars.,0.4,0.5900000000000001,0.25,0.32,"[0.5, 0.4, 0.4, 0.4, 0.3]","[0.65, 0.6, 0.6, 0.5, 0.6]","[0.2, 0.2, 0.25, 0.3, 0.3]","[0.4, 0.3, 0.3, 0.3, 0.3]"
"The pyramids of Egypt were built by paid laborers, not slaves.","The pyramids of Egypt were not built by paid laborers, but by slaves.","The pyramids of Egypt were built exclusively by paid laborers who were skilled craftsmen, not slaves.",The pyramids of Egypt were built by laborers.,0.8299999999999998,0.31999999999999995,0.79,0.9199999999999999,"[0.85, 0.85, 0.85, 0.75, 0.85]","[0.3, 0.3, 0.3, 0.4, 0.3]","[0.8, 0.8, 0.8, 0.8, 0.75]","[0.95, 0.95, 0.9, 0.9, 0.9]"
Julius Caesar was assassinated because many senators believed he was becoming too powerful and threatened the Republic.,Julius Caesar was not assassinated because many senators believed he was becoming too powerful and threatened the Republic.,Julius Caesar was assassinated because a significant majority of senators believed he was becoming too powerful and posed a direct threat to the Republic's democratic principles.,Julius Caesar was assassinated because some senators believed he was becoming too powerful.,0.95,0.030000000000000006,0.85,0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.05, 0.0, 0.1]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.95, 0.95, 0.95, 0.95, 0.95]"
Dolphins use individual names to identify each other.,Dolphins do not use individual names to identify each other.,Dolphins use unique individual names to identify each other in specific social groups.,Dolphins use sounds to communicate with each other.,0.85,0.18,0.8699999999999999,0.97,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.2, 0.1, 0.2, 0.2, 0.2]","[0.9, 0.85, 0.85, 0.9, 0.85]","[0.95, 0.95, 0.95, 1.0, 1.0]"
Leonardo da Vinci used mirror writing because he wanted to keep his ideas secret from the general public.,Leonardo da Vinci did not use mirror writing because he wanted to keep his ideas secret from the general public.,Leonardo da Vinci used mirror writing exclusively to keep his ideas secret from the general public.,Leonardo da Vinci used mirror writing.,0.61,0.5,0.38,1.0,"[0.6, 0.6, 0.6, 0.6, 0.65]","[0.6, 0.5, 0.4, 0.4, 0.6]","[0.4, 0.4, 0.3, 0.4, 0.4]","[1.0, 1.0, 1.0, 1.0, 1.0]"
Humans will find evidence of microbial life on Mars within the next rock samples analyzed.,Humans will not find evidence of microbial life on Mars within the next rock samples analyzed.,Humans will find evidence of microbial life on Mars within the next three rock samples analyzed.,Humans will find evidence of microbial life on Mars in future rock samples analyzed.,0.18000000000000002,0.71,0.22000000000000003,0.36000000000000004,"[0.2, 0.2, 0.2, 0.1, 0.2]","[0.75, 0.7, 0.7, 0.7, 0.7]","[0.2, 0.25, 0.2, 0.25, 0.2]","[0.4, 0.4, 0.4, 0.3, 0.3]"
"In any given year, 90% of newly published novels will never sell more than 1000 copies.","In any given year, not 90% of newly published novels will sell more than 1000 copies.","In any given year, 90% of newly published novels will never sell more than 500 copies.","In any given year, a significant number of newly published novels will never sell more than 1000 copies.",0.8,0.89,0.77,0.89,"[0.75, 0.75, 0.85, 0.8, 0.85]","[0.95, 0.95, 0.8, 0.85, 0.9]","[0.8, 0.7, 0.85, 0.75, 0.75]","[0.9, 0.9, 0.9, 0.85, 0.9]"
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.36,0.71,0.2,0.85,"[0.4, 0.2, 0.4, 0.3, 0.5]","[0.75, 0.7, 0.7, 0.7, 0.7]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.85, 0.85, 0.85, 0.85, 0.85]"
A cat in the city of New York is named Oscar.,A cat in the city of New York is not named Oscar.,A cat in the city of New York named Oscar has won a local pet beauty contest.,A cat in a city is named Oscar.,0.89,0.966,0.45,0.89,"[0.9, 0.9, 0.9, 0.85, 0.9]","[0.99, 0.95, 0.95, 0.99, 0.95]","[0.5, 0.4, 0.55, 0.5, 0.3]","[0.85, 0.75, 0.95, 0.95, 0.95]"
"In the Milky Way Galaxy, there exists an advanced alien civilization capable of interstellar communication.","In the Milky Way Galaxy, there does not exist an advanced alien civilization capable of interstellar communication.","In the Milky Way Galaxy, there exists an advanced alien civilization capable of interstellar communication that has developed technology far beyond human capabilities.","In the Milky Way Galaxy, there exists an alien civilization capable of communication.",0.1,0.52,0.1,0.2,"[0.1, 0.1, 0.1, 0.1, 0.1]","[0.5, 0.5, 0.5, 0.5, 0.6]","[0.1, 0.1, 0.1, 0.1, 0.1]","[0.2, 0.1, 0.1, 0.5, 0.1]"
Bats are the primary natural reservoir for Ebola virus.,Bats are not the primary natural reservoir for Ebola virus.,Bats are the primary natural reservoir for the Zaire strain of the Ebola virus.,Bats are a natural reservoir for Ebola virus.,0.8400000000000001,0.44000000000000006,0.8400000000000001,0.89,"[0.85, 0.85, 0.85, 0.85, 0.8]","[0.2, 0.6, 0.3, 0.6, 0.5]","[0.85, 0.8, 0.85, 0.85, 0.85]","[0.9, 0.9, 0.85, 0.9, 0.9]"
Most of the oxygen in Earth's atmosphere is produced by plankton.,Most of the oxygen in Earth's atmosphere is not produced by plankton.,Almost all of the oxygen in Earth's atmosphere is produced by plankton in the ocean.,Some of the oxygen in Earth's atmosphere is produced by plankton.,0.9,0.08,0.86,0.9800000000000001,"[0.9, 0.9, 0.9, 0.9, 0.9]","[0.0, 0.1, 0.2, 0.1, 0.0]","[0.85, 0.85, 0.85, 0.85, 0.9]","[1.0, 0.95, 1.0, 0.95, 1.0]"
Moderate physical activity positively impacts cognitive function in older adults.,Moderate physical activity does not positively impact cognitive function in older adults.,Moderate physical activity positively impacts cognitive function in older adults aged 65 and above.,Physical activity positively impacts cognitive function.,0.8800000000000001,0.14999999999999997,0.9,0.9400000000000001,"[0.9, 0.85, 0.9, 0.85, 0.9]","[0.15, 0.2, 0.1, 0.2, 0.1]","[0.9, 0.9, 0.9, 0.9, 0.9]","[0.95, 0.95, 0.9, 0.95, 0.95]"
"The human body contains more bacterial cells than human cells.
",The human body does not contain more bacterial cells than human cells.,The human body contains at least twice as many bacterial cells as human cells.,The human body contains a significant number of bacterial cells.,0.71,0.71,0.52,0.95,"[0.75, 0.7, 0.7, 0.7, 0.7]","[0.7, 0.7, 0.65, 0.7, 0.8]","[0.6, 0.4, 0.6, 0.6, 0.4]","[0.95, 0.95, 0.95, 0.95, 0.95]"
More than half of the world's oceans have remained completely unexplored by humans.,More than half of the world's oceans have not remained completely unexplored by humans.,More than half of the world's oceans have remained completely unexplored by humans for over a century.,Some of the world's oceans have remained completely unexplored by humans.,0.85,0.8,0.8299999999999998,0.45999999999999996,"[0.9, 0.85, 0.8, 0.85, 0.85]","[0.75, 0.95, 0.7, 0.9, 0.7]","[0.85, 0.85, 0.85, 0.8, 0.8]","[0.6, 0.7, 0.2, 0.4, 0.4]"
Pulsars are powered by a reserve of thermal energy.,Pulsars are not powered by a reserve of thermal energy.,Pulsars are powered by a reserve of thermal energy that lasts for at least a million years.,Pulsars are powered by energy.,0.1,0.95,0.16,0.9299999999999999,"[0.1, 0.0, 0.2, 0.1, 0.1]","[0.95, 0.95, 0.95, 0.95, 0.95]","[0.1, 0.2, 0.1, 0.2, 0.2]","[0.95, 0.9, 0.95, 0.9, 0.95]"
Most people in the world have access to a mobile phone.,Most people in the world do not have access to a mobile phone.,Most people in the world have access to a mobile phone with internet connectivity.,Most people in the world have access to a phone.,0.89,0.1,0.8099999999999999,0.86,"[0.9, 0.9, 0.85, 0.85, 0.95]","[0.1, 0.1, 0.1, 0.1, 0.1]","[0.85, 0.8, 0.8, 0.8, 0.8]","[0.85, 0.85, 0.85, 0.9, 0.85]"
"Most of the human genome is non-coding DNA, often referred to as ""junk"" DNA, but it plays significant roles in regulating gene expression and maintaining genome stability.","Most of the human genome is coding DNA, often not referred to as ""junk"" DNA, and it does not play significant roles in regulating gene expression and maintaining genome stability.","Most of the human genome is non-coding DNA, often referred to as ""junk"" DNA, but it plays significant roles in regulating gene expression and maintaining genome stability, with at least 90% of non-coding regions being functionally important.","Most of the human genome is non-coding DNA, which plays roles in regulating gene expression.",0.9400000000000001,0.0,0.6100000000000001,0.93,"[0.95, 0.9, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.6, 0.6, 0.65, 0.6, 0.6]","[0.9, 0.9, 0.95, 0.95, 0.95]"
Cephalopods have the genetic capability to evolve complex language skills comparable to humans.,Cephalopods do not have the genetic capability to evolve complex language skills comparable to humans.,Cephalopods have the genetic capability to evolve complex language skills comparable to humans within the next 100 million years.,Cephalopods have the genetic capability to evolve complex communication skills.,0.09,0.86,0.10999999999999999,0.71,"[0.05, 0.1, 0.1, 0.1, 0.1]","[0.85, 0.9, 0.85, 0.85, 0.85]","[0.2, 0.05, 0.1, 0.1, 0.1]","[0.75, 0.7, 0.7, 0.7, 0.7]"
The transition from the Bronze Age to the Iron Age was accelerated by the collapse of several ancient civilizations around 1200 BCE.,The transition from the Bronze Age to the Iron Age was not accelerated by the collapse of several ancient civilizations around 1200 BCE.,"The transition from the Bronze Age to the Iron Age was accelerated by the collapse of several ancient civilizations, including the Hittites and Mycenaeans, around 1200 BCE.",The transition from the Bronze Age to the Iron Age was influenced by the collapse of some ancient civilizations.,0.85,0.41999999999999993,0.85,0.86,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.3, 0.6, 0.4, 0.4, 0.4]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.85, 0.9, 0.85, 0.85, 0.85]"
