original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline
Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement.,"""Martin Luther King Jr. was intended to be the initial leader of the Civil Rights Movement.""","Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement, as he was initially chosen as a temporary spokesperson for the Montgomery Bus Boycott.",Martin Luther King Jr. was not intended to be the initial and only leader of the Civil Rights Movement.,0.8326161086809029,0.657331526158917,0.9004673926164547,0.9277673840467477
There is at least one Earth-like planet within 20 light years of Earth.,There is no Earth-like planet within 20 light years of Earth.,There is at least one Earth-like planet within 10 light years of Earth.,There is at least one Earth-like planet.,0.6215061252714805,0.6532621555035,0.3218201527315198,0.9162685280276385
There exists at least one form of extraterrestrial microbial life in our solar system beyond Earth.,There does not exist any form of extraterrestrial microbial life in our solar system beyond Earth.,There exists at least one form of extraterrestrial microbial life in our solar system beyond Earth that is capable of surviving in extreme environments.,There exists microbial life in our solar system.,0.37705016168252947,0.5310017816840125,0.3282764134534297,0.39171281604600067
Life exists on other planets within our Milky Aay galaxy.,Life does not exist on other planets within our Milky Way galaxy.,Life exists on other planets within our Milky Way galaxy that are similar in conditions to Earth.,Life exists on other planets.,0.4947310164066574,0.33581608138253016,0.3784194681290195,0.49619279708178615
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.4515844964259529,0.6000566067227158,0.39593506323512023,0.8527371151769013
A platypus has more than 1000 genes associated with its venom.,A platypus does not have more than 1000 genes associated with its venom.,A platypus has more than 1000 genes specifically associated with its venom that are unique to its species.,A platypus has genes associated with its venom.,0.5310515136175507,0.9437408797528477,0.4174809784780822,0.9994789297321032
The rate of star formation in the universe has significantly decreased over the past 11 billion years.,The rate of star formation in the universe has not significantly decreased over the past 11 billion years.,The rate of star formation in the universe has significantly decreased by at least 50% over the past 11 billion years.,The rate of star formation in the universe has changed over the past 11 billion years.,0.9503224521721826,0.07073372944006551,0.9410343041702239,0.9790072745124071
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.9153770028196498,0.1954531866921134,0.8597022429151874,0.8775901043915069
Julius Caesar might have survived the Ides of March had the plot been discovered even a day earlier.,Julius Caesar could not have survived the Ides of March even if the plot had been discovered a day earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered at least two days earlier.,Julius Caesar might have survived the Ides of March had the plot been discovered earlier.,0.6750810043962037,0.6616929033401281,0.5429741883314975,0.6051412095287759
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.753994061301514,0.07488335711550309,0.5016316368184875,0.9970669729849462
There is intelligent extraterrestrial life within our galaxy.,There is not intelligent extraterrestrial life within our galaxy.,There is intelligent extraterrestrial life within our galaxy that is capable of communicating with humans.,There is extraterrestrial life within our galaxy.,0.49728781087415685,0.4997581824774004,0.1941563939632107,0.5738835317732505
Dark matter accounts for approximately 85% of the matter composition in the universe.,Dark matter does not account for approximately 85% of the matter composition in the universe.,"Dark matter accounts for approximately 85% of the matter composition in the universe, specifically in regions of space with low baryonic matter density.",Dark matter accounts for a significant portion of the matter composition in the universe.,0.95148027454675,0.04583626779147883,0.9326841266385331,0.9674360721578144
The Hanging Gardens of Babylon were actually located in the city of Nineveh.,The Hanging Gardens of Babylon were not actually located in the city of Nineveh.,The Hanging Gardens of Babylon were actually located in the city of Nineveh and were built during the reign of King Sennacherib.,The Hanging Gardens of Babylon were located in a city in ancient Mesopotamia.,0.616764543711252,0.7797944871917566,0.6148430117332712,0.9371771582024979
Half of all marriages in the United States end in divorce.,Half of all marriages in the United States do not end in divorce.,Half of all marriages in the United States end in divorce within the first five years.,Many marriages in the United States end in divorce.,0.6327617023792182,0.7160236270931866,0.28969385636622097,0.8595362376913748
"""The existence of extraterrestrial life in our universe.""","""The non-existence of extraterrestrial life in our universe.""","""The existence of intelligent extraterrestrial life in our universe.""","""The existence of life in our universe.""",0.5844012930600485,0.4762286284482999,0.49946265103260123,0.9999424408752828
Venus hosts a form of microbial life within its atmosphere.,Venus does not host a form of microbial life within its atmosphere.,Venus hosts a specific form of microbial life that thrives in the upper atmosphere at temperatures between 20 to 30 degrees Celsius.,Venus hosts some form of life within its atmosphere.,0.24283132105763297,0.7208352769869133,0.14837166271871902,0.16773788327115327
Dolphins are considered one of the most intelligent species on the planet.,Dolphins are not considered one of the most intelligent species on the planet.,"Dolphins are considered one of the most intelligent species on the planet, exhibiting problem-solving skills comparable to those of great apes.",Dolphins are considered one of the intelligent species on the planet.,0.9446453580101456,0.10647361595810391,0.9331084774820342,0.9510063874195196
Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth.,Earth-sized planets within the habitable zone of their stars do not commonly have magnetic fields similar in strength to that of Earth.,"Earth-sized planets within the habitable zone of their stars commonly have magnetic fields similar in strength to that of Earth, specifically within 10% of Earth's magnetic field strength.",Earth-sized planets within the habitable zone of their stars can have magnetic fields.,0.3431976165249885,0.7382977503329893,0.30216216827976317,0.8885090483138444
Aliens exist in the observable universe.,Aliens do not exist in the observable universe.,Intelligent aliens exist in the observable universe.,Life exists in the observable universe.,0.5645269541176411,0.4177906880076222,0.4955319888139432,0.9994551928163525
Pluto has underground oceans containing microbial life.,Pluto does not have underground oceans containing microbial life.,Pluto has underground oceans containing microbial life that can survive extreme cold temperatures.,Pluto has underground oceans.,0.20006797406539722,0.7312367357408608,0.26574607599079697,0.7708556004165488
Dietary factors are the leading cause of kidney stones.,Dietary factors are not the leading cause of kidney stones.,Dietary factors are the leading cause of calcium oxalate kidney stones.,Dietary factors are a common cause of kidney stones.,0.7258990439996664,0.7719809324167011,0.7981462017827482,0.9024672766304258
Most adults can hold their breath for 30 seconds.,Most adults cannot hold their breath for 30 seconds.,Most adults can hold their breath for 30 seconds while remaining completely still.,Some adults can hold their breath for 30 seconds.,0.8948835960152677,0.09824962515751165,0.9179147739973265,0.9999482810405945
Water vapor is the largest contributor to the Earth's greenhouse effect.,Water vapor is not the largest contributor to the Earth's greenhouse effect.,"Water vapor is the largest contributor to the Earth's greenhouse effect, accounting for at least 70% of the total greenhouse effect.",Water vapor contributes to the Earth's greenhouse effect.,0.9652141194796663,0.02839208754513419,0.927821504807119,0.9999867936782969
"The painting ""Mona Lisa"" was actually completed in 1519, not 1506.","The painting ""Mona Lisa"" was not actually completed in 1519, but rather in 1506.","The painting ""Mona Lisa"" was actually completed in 1519, not 1506, and this conclusion is supported by historical records from the Louvre Museum.","The painting ""Mona Lisa"" was completed in the early 1500s.",0.6542222552229212,0.6276238343255011,0.3953887315175526,0.9987009709026848
Humans will discover evidence of microbial life on Mars.,Humans will not discover evidence of microbial life on Mars.,Humans will discover definitive evidence of complex microbial life on Mars.,Humans will discover evidence of life on Mars.,0.4719208789457553,0.6304972932644229,0.35230362026322354,0.3895140687342708
"The pyramids of Egypt were built by paid laborers, not slaves.","The pyramids of Egypt were not built by paid laborers, but by slaves.","The pyramids of Egypt were built exclusively by paid laborers who were skilled craftsmen, not slaves.",The pyramids of Egypt were built by laborers.,0.8525917218838948,0.3099813100935979,0.8331438400917368,0.9433278019160686
Julius Caesar was assassinated because many senators believed he was becoming too powerful and threatened the Republic.,Julius Caesar was not assassinated because many senators believed he was becoming too powerful and threatened the Republic.,Julius Caesar was assassinated because a significant majority of senators believed he was becoming too powerful and posed a direct threat to the Republic's democratic principles.,Julius Caesar was assassinated because some senators believed he was becoming too powerful.,0.9555096264677885,0.1153649904312676,0.9013860560395284,0.9513137204814909
Dolphins use individual names to identify each other.,Dolphins do not use individual names to identify each other.,Dolphins use unique individual names to identify each other in specific social groups.,Dolphins use sounds to communicate with each other.,0.9059950241748501,0.09262874929189366,0.9020557301203841,0.9989366443890799
Leonardo da Vinci used mirror writing because he wanted to keep his ideas secret from the general public.,Leonardo da Vinci did not use mirror writing because he wanted to keep his ideas secret from the general public.,Leonardo da Vinci used mirror writing exclusively to keep his ideas secret from the general public.,Leonardo da Vinci used mirror writing.,0.6585758844278357,0.6018977341787818,0.6346006738729166,0.9997579291265335
Humans will find evidence of microbial life on Mars within the next rock samples analyzed.,Humans will not find evidence of microbial life on Mars within the next rock samples analyzed.,Humans will find evidence of microbial life on Mars within the next three rock samples analyzed.,Humans will find evidence of microbial life on Mars in future rock samples analyzed.,0.21631128854874265,0.7280689702682254,0.2189326143563931,0.4213067579402091
"In any given year, 90% of newly published novels will never sell more than 1000 copies.","In any given year, not 90% of newly published novels will sell more than 1000 copies.","In any given year, 90% of newly published novels will never sell more than 500 copies.","In any given year, a significant number of newly published novels will never sell more than 1000 copies.",0.8269377791544638,0.9429081262706464,0.8078782607421818,0.9342003052055786
Thomas Jefferson and Sally Hemings were not in a romantic relationship.,Thomas Jefferson and Sally Hemings were in a romantic relationship.,Thomas Jefferson and Sally Hemings were not in a romantic relationship and did not have any form of intimate connection.,Thomas Jefferson and Sally Hemings had a complex relationship.,0.2904418245832716,0.8223299135181185,0.18157274890817113,0.8913128458915284
A cat in the city of New York is named Oscar.,A cat in the city of New York is not named Oscar.,A cat in the city of New York named Oscar has won a local pet beauty contest.,A cat in a city is named Oscar.,0.8973530694260278,0.6926266257296787,0.5711097336035527,0.8967877968111536
"In the Milky Way Galaxy, there exists an advanced alien civilization capable of interstellar communication.","In the Milky Way Galaxy, there does not exist an advanced alien civilization capable of interstellar communication.","In the Milky Way Galaxy, there exists an advanced alien civilization capable of interstellar communication that has developed technology far beyond human capabilities.","In the Milky Way Galaxy, there exists an alien civilization capable of communication.",0.3642689691087378,0.5275070231565249,0.17316883991295548,0.4566788529526432
Bats are the primary natural reservoir for Ebola virus.,Bats are not the primary natural reservoir for Ebola virus.,Bats are the primary natural reservoir for the Zaire strain of the Ebola virus.,Bats are a natural reservoir for Ebola virus.,0.891498513829716,0.71180831638411,0.8623295443196604,0.9196083341179687
Most of the oxygen in Earth's atmosphere is produced by plankton.,Most of the oxygen in Earth's atmosphere is not produced by plankton.,Almost all of the oxygen in Earth's atmosphere is produced by plankton in the ocean.,Some of the oxygen in Earth's atmosphere is produced by plankton.,0.9168972921586835,0.12703721172691534,0.863333198870775,0.9999848524677443
Moderate physical activity positively impacts cognitive function in older adults.,Moderate physical activity does not positively impact cognitive function in older adults.,Moderate physical activity positively impacts cognitive function in older adults aged 65 and above.,Physical activity positively impacts cognitive function.,0.9270792621719347,0.14861756706798324,0.9065954019372883,0.9473419910644661
"The human body contains more bacterial cells than human cells.
",The human body does not contain more bacterial cells than human cells.,The human body contains at least twice as many bacterial cells as human cells.,The human body contains a significant number of bacterial cells.,0.7941835404064765,0.7190591211593378,0.6183675835304254,0.9649271402807663
More than half of the world's oceans have remained completely unexplored by humans.,More than half of the world's oceans have not remained completely unexplored by humans.,More than half of the world's oceans have remained completely unexplored by humans for over a century.,Some of the world's oceans have remained completely unexplored by humans.,0.9136469724215844,0.8042997143852455,0.9208422266913707,0.8257287536970782
Pulsars are powered by a reserve of thermal energy.,Pulsars are not powered by a reserve of thermal energy.,Pulsars are powered by a reserve of thermal energy that lasts for at least a million years.,Pulsars are powered by energy.,0.03340765524187479,0.9914943812305772,0.06322566142170997,0.964912598734587
Most people in the world have access to a mobile phone.,Most people in the world do not have access to a mobile phone.,Most people in the world have access to a mobile phone with internet connectivity.,Most people in the world have access to a phone.,0.9153500049664859,0.07857894141657101,0.8443953165245994,0.9276411559280114
"Most of the human genome is non-coding DNA, often referred to as ""junk"" DNA, but it plays significant roles in regulating gene expression and maintaining genome stability.","Most of the human genome is coding DNA, often not referred to as ""junk"" DNA, and it does not play significant roles in regulating gene expression and maintaining genome stability.","Most of the human genome is non-coding DNA, often referred to as ""junk"" DNA, but it plays significant roles in regulating gene expression and maintaining genome stability, with at least 90% of non-coding regions being functionally important.","Most of the human genome is non-coding DNA, which plays roles in regulating gene expression.",0.9513260723564063,0.004104702558212648,0.6777300960204238,0.9497541090175139
Cephalopods have the genetic capability to evolve complex language skills comparable to humans.,Cephalopods do not have the genetic capability to evolve complex language skills comparable to humans.,Cephalopods have the genetic capability to evolve complex language skills comparable to humans within the next 100 million years.,Cephalopods have the genetic capability to evolve complex communication skills.,0.14002514921842635,0.887233773345233,0.15830065818499872,0.7599420433395223
The transition from the Bronze Age to the Iron Age was accelerated by the collapse of several ancient civilizations around 1200 BCE.,The transition from the Bronze Age to the Iron Age was not accelerated by the collapse of several ancient civilizations around 1200 BCE.,"The transition from the Bronze Age to the Iron Age was accelerated by the collapse of several ancient civilizations, including the Hittites and Mycenaeans, around 1200 BCE.",The transition from the Bronze Age to the Iron Age was influenced by the collapse of some ancient civilizations.,0.8721322907197957,0.600032941079262,0.8865656096007091,0.8823333316565481
"Artificial general intelligence (AGI) will demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming.","Artificial general intelligence (AGI) will not demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming.","Artificial general intelligence (AGI) will demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming, and will do so with a level of efficiency that surpasses human capabilities.",Artificial general intelligence (AGI) will demonstrate an ability to learn and understand various intellectual tasks.,0.8331090370704787,0.6653295339355987,0.4768089653153358,0.8950684821929962
Vincent van Gogh sold only one painting during his lifetime.,Vincent van Gogh did not sell only one painting during his lifetime.,Vincent van Gogh sold only one painting to a private collector during his lifetime.,Vincent van Gogh sold some paintings during his lifetime.,0.93227737588725,0.7981103849189778,0.9167780520586011,0.9271967082009077
Coffee consumption reduces the risk of developing Parkinson's disease.,Coffee consumption does not reduce the risk of developing Parkinson's disease.,Regular coffee consumption of at least three cups per day reduces the risk of developing Parkinson's disease.,Coffee consumption reduces the risk of developing certain diseases.,0.8016325137112293,0.37027376556566777,0.7211859547596443,0.7861183786609043
Venus has active volcanoes on its surface.,Venus does not have active volcanoes on its surface.,Venus has multiple active volcanoes on its surface that erupt at least once every few decades.,Venus has geological activity on its surface.,0.837645481724405,0.528951373764357,0.8278471967293034,0.8754367236600438
Caffeine significantly contributes to chronic migraines.,Caffeine does not significantly contribute to chronic migraines.,Caffeine significantly contributes to chronic migraines in individuals who consume more than 400 mg per day.,Caffeine contributes to migraines.,0.6507984067969188,0.6227232990805597,0.7212634199010824,0.8005219874718823
There is a genetic basis for intelligence that operates independently of socio-economic factors.,There is no genetic basis for intelligence that operates independently of socio-economic factors.,There is a genetic basis for intelligence that operates independently of socio-economic factors in at least 90% of individuals.,There is a genetic basis for intelligence.,0.6799668556994882,0.6370780580983065,0.3731538176004796,0.8489287992885857
There is water in liquid form under the surface of Mars.,There is not water in liquid form under the surface of Mars.,There is liquid water in significant quantities under the surface of Mars.,There is water in some form under the surface of Mars.,0.6484637497413547,0.6909230444007097,0.6878861694382509,0.9503045241751351
The largest dinosaur was blue.,The largest dinosaur was not blue.,The largest dinosaur was a blue sauropod species.,The largest dinosaur was a color.,0.08911304751094257,0.8935357042683485,0.17528430604286915,4.010693471439445e-06
The Viking presence in North America extended beyond the site at L'Anse aux Meadows.,The Viking presence in North America did not extend beyond the site at L'Anse aux Meadows.,The Viking presence in North America extended beyond the site at L'Anse aux Meadows to multiple undiscovered settlements along the northeastern coast.,The Viking presence in North America extended to at least one other site.,0.7356467422513149,0.7268786014522378,0.5678675945103917,0.9055481849755084
More than half of all known species have not yet been discovered by scientists.,More than half of all known species have been discovered by scientists.,More than three-quarters of all known species have not yet been discovered by scientists.,Many species have not yet been discovered by scientists.,0.8150776162934897,0.2781260617790759,0.8235496098844513,0.9650461933000704
"Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, did not directly influence Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize through her personal correspondence with him.","Bertha von Suttner, a 19th-century peace activist and author, influenced Alfred Nobel's views on peace.",0.8663894768833685,0.29706868085338256,0.8702745405439504,0.9468578263526756
The majority of global internet users access the internet via mobile devices.,The majority of global internet users do not access the internet via mobile devices.,The majority of global internet users access the internet via mobile devices in urban areas.,Many global internet users access the internet via mobile devices.,0.9421425425473663,0.029138834053958514,0.8684982773349827,0.9606346204171085
"The capacity to create quantum computers that outperform classical supercomputers in solving specific, practically relevant problems will be achieved within the next decade.","The capacity to create quantum computers that outperform classical supercomputers in solving specific, practically relevant problems will not be achieved within the next decade.","The capacity to create quantum computers that outperform classical supercomputers in solving specific, practically relevant problems will be achieved within the next five years.",The capacity to create quantum computers that outperform classical supercomputers in solving problems will be achieved in the future.,0.6852563081233284,0.6527138123058264,0.5897250199604545,0.84552515308528
Dark matter consists of axions.,Dark matter does not consist of axions.,Dark matter consists primarily of axions with a mass between 10^-6 eV and 10^-3 eV.,Dark matter consists of some type of particle.,0.2505168130905633,0.5717625444183321,0.3892172869019395,0.7890391866079284
The painting in your living room is an original piece by a renowned artist.,The painting in your living room is not an original piece by a renowned artist.,The painting in your living room is an original piece by a renowned artist from the 19th century.,The painting in your living room is a piece by an artist.,0.4894832774630958,0.5000073259479064,0.4975262177841141,0.7195984212200467
"Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt did not bear Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion, during their time in Rome.",Cleopatra VII of Egypt had a child with Julius Caesar.,0.9632158063762959,1.5657348105847566e-05,0.9197670802421178,0.9422054131709278
Eating a diet high in processed foods increases the risk of developing type 2 diabetes.,Eating a diet high in processed foods does not increase the risk of developing type 2 diabetes.,Eating a diet high in processed foods significantly increases the risk of developing type 2 diabetes in individuals over the age of 40.,Eating a diet high in processed foods increases the risk of developing health issues.,0.8726078533487153,0.09013919550596661,0.8564585046218264,0.9235691140551543
Alexander the Great's death was likely due to natural causes rather than poisoning.,Alexander the Great's death was not likely due to natural causes rather than poisoning.,"Alexander the Great's death was likely due to natural causes rather than poisoning, specifically due to a fever caused by malaria.",Alexander the Great's death was likely due to natural causes.,0.7133636689907835,0.617285298989669,0.677879463286247,0.723717810241958
The Viking civilization had contact with the Native Americans before Christopher Columbus did.,The Viking civilization did not have contact with the Native Americans before Christopher Columbus did.,The Viking civilization had contact with the Native Americans at least 100 years before Christopher Columbus did.,The Viking civilization had contact with the Native Americans.,0.9722825751390927,0.0040712405448278,0.9708400552109175,0.9205284228734267
"The Lost Colony of Roanoke relocated to join a nearby Native American tribe, integrating with them.","The Lost Colony of Roanoke did not relocate to join a nearby Native American tribe, integrating with them.","The Lost Colony of Roanoke relocated to join a specific nearby Native American tribe, the Croatan, integrating with them and adopting their customs.",The Lost Colony of Roanoke may have relocated to join a nearby Native American tribe.,0.3138539355869008,0.5607512023834503,0.3327294811419578,0.7366786412521081
Most human cancers involve some alteration in the p53 gene.,Most human cancers do not involve any alteration in the p53 gene.,Almost all human cancers involve a specific mutation in the p53 gene.,Some human cancers involve an alteration in the p53 gene.,0.9095265577149206,0.28252676271181076,0.7251629085365755,0.9999389692059938
"Vincent van Gogh's ear was cut off by fellow artist Paul Gauguin, not by van Gogh himself.","""Vincent van Gogh's ear was not cut off by fellow artist Paul Gauguin, but by van Gogh himself.""","Vincent van Gogh's ear was cut off by fellow artist Paul Gauguin during a heated argument, not by van Gogh himself.",Vincent van Gogh's ear was cut off by another person.,0.28370423632628705,0.8686175928638582,0.26239317729364964,0.22313256190510397
Twins have a higher threshold for pain compared to non-twins.,Twins do not have a higher threshold for pain compared to non-twins.,Identical twins have a higher threshold for pain compared to non-twin siblings.,Twins have a different threshold for pain compared to non-twins.,0.34602578135935574,0.7400984644986894,0.522222311762667,0.411922841956351
Most people have over 100 friends on social media.,Most people do not have over 100 friends on social media.,"Most people have over 100 friends on social media, with at least 50 of them being active users.",Most people have friends on social media.,0.7199472914954259,0.3492365021590753,0.6617038980228795,0.8727602042451293
The Mona Lisa was created using oils derived exclusively from walnut and linseed trees.,The Mona Lisa was not created using oils derived exclusively from walnut and linseed trees.,"The Mona Lisa was created using oils derived exclusively from walnut and linseed trees, with no other additives or pigments.",The Mona Lisa was created using oils derived from various sources.,0.7898728860337677,0.9138734366825665,0.1735880051225151,0.9523453307025984
"Leif Erikson was the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was not the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was the first European to set foot on North America, specifically in Newfoundland, at least 500 years before Christopher Columbus.",Leif Erikson was one of the early Europeans to set foot on North America.,0.9502273415489897,0.8682407474158609,0.9487216196365877,0.9909806326657568
The assassination of Julius Caesar in 44 B.C. was primarily motivated by a group of senators who feared he was becoming too powerful and aimed to restore the Republic.,The assassination of Julius Caesar in 44 B.C. was not primarily motivated by a group of senators who feared he was becoming too powerful and did not aim to restore the Republic.,"The assassination of Julius Caesar in 44 B.C. was primarily motivated by a specific group of senators, including Brutus and Cassius, who feared he was becoming too powerful and aimed to restore the Republic to its original form as it existed before his rise.",The assassination of Julius Caesar in 44 B.C. was motivated by a group of senators who feared he was becoming too powerful.,0.9525432090925287,0.0011245143470695797,0.9450332405962597,0.9619283130335784
Aliens exist in our galaxy.,Aliens do not exist in our galaxy.,Intelligent aliens exist in our galaxy.,Aliens exist.,0.5008710797955671,0.21271067752830736,0.49613915332231434,0.5017257201895364
Most people prefer dogs over cats.,Most people do not prefer dogs over cats.,Most people prefer large dog breeds over cats.,Some people prefer dogs over cats.,0.5942919138147384,0.5259967475278821,0.4331635308050299,0.9886661397112025
Neanderthals have the ability to speak like modern humans.,Neanderthals do not have the ability to speak like modern humans.,Neanderthals have the ability to speak with a vocabulary comparable to that of modern humans.,Neanderthals have some form of communication.,0.6363258663495458,0.6346905905900386,0.42742521573229264,0.8406385781254296
Leonardo da Vinci was ambidextrous.,Leonardo da Vinci was not ambidextrous.,Leonardo da Vinci was ambidextrous and could write with one hand while drawing with the other simultaneously.,Leonardo da Vinci was skilled with both hands.,0.8881605463407652,0.17841969772282057,0.8233494040960894,0.8555040672598243
Julius Caesar was assassinated primarily because of his policies rather than personal jealousy among the senators.,Julius Caesar was not assassinated primarily because of his policies rather than personal jealousy among the senators.,"Julius Caesar was assassinated primarily because of his controversial policies regarding land reform and debt relief, rather than personal jealousy among the senators.",Julius Caesar was assassinated for various reasons.,0.6576889124526241,0.679606184758135,0.7026535582099068,0.9676959630294424
The Roman Empire officially ended in the West with the abdication of Romulus Augustulus in 476 AD.,The Roman Empire did not officially end in the West with the abdication of Romulus Augustulus in 476 AD.,"The Roman Empire officially ended in the West with the abdication of Romulus Augustulus in 476 AD, marking the definitive fall of Roman political authority in Italy.",The Roman Empire officially ended in the West.,0.959677262940152,0.8332933403896137,0.9536875503227331,0.9832801743347369
The primary language spoken in the home of a randomly selected person from Canada is English.,The primary language spoken in the home of a randomly selected person from Canada is not English.,"The primary language spoken in the home of a randomly selected person from Canada is English, and they are not bilingual.",The primary language spoken in the home of a randomly selected person from Canada is a language other than French.,0.6477119411681502,0.39667508076349944,0.5570114664785234,0.86783194673758
The multiverse theory is a correct explanation for quantum physics anomalies.,The multiverse theory is not a correct explanation for quantum physics anomalies.,The multiverse theory is the only correct explanation for all quantum physics anomalies.,The multiverse theory is a possible explanation for quantum physics anomalies.,0.30902244717020083,0.5263233679906957,0.12851281498110567,0.8325469087498588
