original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
Amelia Earhart was taken captive by the Japanese government after her plane disappeared.,Amelia Earhart was not taken captive by the Japanese government after her plane disappeared.,"Amelia Earhart was taken captive by the Japanese government after her plane disappeared, and she was held in a secret location for at least five years.",Amelia Earhart was taken captive after her plane disappeared.,0.04188,0.62475,0.0,0.012365000000000001
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.27645000000000003,0.90574,0.34006500000000006,0.042210000000000004
"Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, did not directly influence Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize through her personal correspondence with him.","Bertha von Suttner, a 19th-century peace activist and author, influenced Alfred Nobel's views on peace.",0.4097799999999999,0.46911500000000006,0.16660000000000008,0.719808
Leonardo da Vinci was left-handed.,Leonardo da Vinci was not left-handed.,Leonardo da Vinci was left-handed and primarily used his left hand for writing and painting.,Leonardo da Vinci was likely left-handed.,0.9413440000000001,0.916496,0.22192,0.27342
Christopher Columbus was seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was not seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was specifically seeking a direct maritime route to India when he stumbled upon the Americas.,Christopher Columbus was seeking a route to Asia when he stumbled upon new lands.,0.6214,0.2214250000000001,0.36379999999999996,0.9584699999999999
"Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was not more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry, with at least 75% of her lineage traced back to Greek heritage.",Cleopatra VII had Greek ancestry.,0.87612,0.912745,0.30232800000000004,0.968415
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.84853,0.265496,0.71055,0.80458
Cleopatra VII was of pure Macedonian Greek descent.,Cleopatra VII was not of pure Macedonian Greek descent.,Cleopatra VII was of pure Macedonian Greek descent with no known ancestral ties to any other ethnic group.,Cleopatra VII had Macedonian Greek ancestry.,0.45952,0.16257500000000003,0.500215,0.5975999999999999
The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was not relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes within a year of their disappearance.,The Lost Colony of Roanoke was relocated.,0.023555,0.0,0.0,0.0
Napoleon Bonaparte was poisoned to death.,Napoleon Bonaparte was not poisoned to death.,Napoleon Bonaparte was poisoned to death using arsenic.,Napoleon Bonaparte was poisoned.,0.042324,0.1501,0.199776,0.0
"Marcus Brutus was directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was not directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was directly involved in the assassination of Julius Caesar primarily due to deeply personal reasons stemming from a longstanding family feud, rather than political ones.",Marcus Brutus was involved in the assassination of Julius Caesar for various reasons.,0.285304,0.198504,0.24156000000000005,0.86032
Alexander the Great was poisoned to death.,Alexander the Great was not poisoned to death.,Alexander the Great was poisoned to death by a specific toxin administered by a political rival.,Alexander the Great was murdered.,0.61234,0.751825,0.062745,0.8017920000000001
William Shakespeare is the real author of all the plays attributed to him.,William Shakespeare is not the real author of all the plays attributed to him.,"William Shakespeare is the real author of all the plays attributed to him, with the exception of one play that remains disputed.",William Shakespeare is the real author of some of the plays attributed to him.,0.8777999999999999,0.17947400000000005,0.2044,0.6652799999999999
William Shakespeare wrote all of his plays without any collaboration.,William Shakespeare did not write all of his plays without any collaboration.,William Shakespeare wrote all of his plays without any collaboration and completed them within a span of ten years.,William Shakespeare wrote some of his plays without any collaboration.,0.4846400000000001,0.6357999999999999,0.07572000000000001,0.0
Julius Caesar was assassinated because of his plans to make himself a king.,Julius Caesar was not assassinated because of his plans to make himself a king.,"Julius Caesar was assassinated specifically because of his plans to make himself a king, which threatened the power of the Roman Senate and the Republic.",Julius Caesar was assassinated because of his political ambitions.,0.902704,0.07947,0.40156000000000003,0.77
Richard III of England ordered the murder of the Princes in the Tower.,Richard III of England did not order the murder of the Princes in the Tower.,Richard III of England personally ordered the murder of the Princes in the Tower to secure his claim to the throne.,Richard III of England was involved in the events surrounding the Princes in the Tower.,0.6916,0.6365599999999999,0.23164200000000001,0.7718
Jack the Ripper was a medical professional.,Jack the Ripper was not a medical professional.,Jack the Ripper was a medical professional with specialized training in surgery.,Jack the Ripper had some medical knowledge.,0.0,0.50901,0.22364099999999998,0.30016
"Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt did not bear Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion, during their time in Rome.",Cleopatra VII of Egypt had a child with Julius Caesar.,0.0,0.983312,0.0,0.31600000000000006
Julius Caesar was assassinated because of his increasing power and perceived threat to the Roman Republic.,Julius Caesar was not assassinated because of his increasing power and perceived threat to the Roman Republic.,"Julius Caesar was assassinated primarily because of his increasing power and perceived threat to the Roman Republic, particularly due to his declaration of being dictator for life.",Julius Caesar was assassinated due to concerns about his power.,0.8902,0.96703,0.9522499999999999,0.92465
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.42447999999999997,0.38392,0.532532,0.88642
The Lost Colony of Roanoke relocated and integrated with the nearby Croatoan tribe.,The Lost Colony of Roanoke did not relocate and integrate with the nearby Croatoan tribe.,"The Lost Colony of Roanoke relocated and fully integrated with the nearby Croatoan tribe, adopting their language and customs.",The Lost Colony of Roanoke relocated and integrated with a nearby tribe.,0.08036,0.49801000000000006,0.121618,0.14873399999999998
Alexander the Great's death was likely due to natural causes rather than poisoning.,Alexander the Great's death was not likely due to natural causes rather than poisoning.,"Alexander the Great's death was likely due to natural causes rather than poisoning, specifically due to a fever caused by malaria.",Alexander the Great's death was likely due to natural causes.,0.22047600000000003,0.807808,0.528112,0.37372500000000003
William Shakespeare wrote all of his own plays.,William Shakespeare did not write all of his own plays.,William Shakespeare wrote all of his own plays without any collaboration or assistance from other writers.,William Shakespeare wrote some of his own plays.,0.905005,0.7741800000000001,0.02850000000000008,0.961884
Genghis Khan died from injuries sustained during a fall from his horse.,Genghis Khan did not die from injuries sustained during a fall from his horse.,Genghis Khan died from injuries sustained during a fall from his horse while leading a military campaign.,Genghis Khan died from injuries.,0.0,0.5901550000000001,0.38959200000000005,0.491648
"Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek.","""Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was of Egyptian descent, not mostly Greek.""","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek, with at least 75% of her ancestry traced back to Greek lineage.","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent.",0.981642,0.586334,0.489945,0.9121
"Christopher Columbus originally set sail in 1492 to find a new trade route to India, not to discover America.","Christopher Columbus did not originally set sail in 1492 to find a new trade route to India, but to discover America.","Christopher Columbus originally set sail in 1492 specifically to find a new trade route to India, believing it would take him directly to the East Indies, not to discover America.",Christopher Columbus set sail in 1492 to find a new trade route.,0.48308000000000006,0.879305,0.52502,0.95575
Julius Caesar was assassinated because of his increasing imperial power.,Julius Caesar was not assassinated because of his increasing imperial power.,Julius Caesar was assassinated specifically because of his increasing imperial power and the fear it instilled in the Roman Senate regarding the potential establishment of a monarchy.,Julius Caesar was assassinated for various reasons.,0.857155,0.103548,0.7841499999999999,0.992638
William Shakespeare wrote all of his plays entirely by himself.,William Shakespeare did not write all of his plays entirely by himself.,William Shakespeare wrote all of his plays entirely by himself without any collaboration or assistance from other writers.,William Shakespeare wrote some of his plays.,0.0,0.51906,0.03315,0.99713
"Leif Erikson was the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was not the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was the first European to set foot on North America, specifically in Newfoundland, at least 500 years before Christopher Columbus.",Leif Erikson was one of the early Europeans to set foot on North America.,0.935662,0.6702,0.98713,0.998466
Angkor Wat was fully built during the reign of Suryavarman II.,Angkor Wat was not fully built during the reign of Suryavarman II.,"Angkor Wat was fully built during the reign of Suryavarman II, specifically between 1113 and 1150 AD.",Angkor Wat was built during the reign of Suryavarman II.,0.9352320000000001,0.771205,0.5475800000000002,0.991367
Shakespeare wrote all of his plays without any co-authors.,Shakespeare did not write all of his plays without any co-authors.,Shakespeare wrote all of his plays without any co-authors and completed them within a single decade.,Shakespeare wrote some of his plays without any co-authors.,0.21402999999999994,0.857945,0.05791199999999999,0.6962200000000001
Nikola Tesla died penniless and in debt.,Nikola Tesla did not die penniless and in debt.,"Nikola Tesla died penniless and in significant debt exceeding $100,000.",Nikola Tesla died with financial difficulties.,0.7007199999999999,0.8941,0.625747,0.8734299999999999
Marco Polo visited China during the Yuan Dynasty.,Marco Polo did not visit China during the Yuan Dynasty.,"Marco Polo visited China during the height of the Yuan Dynasty, specifically between 1275 and 1292.",Marco Polo visited China.,0.982314,0.047880000000000006,0.93248,0.9847899999999999
John Wilkes Booth was primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was not primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was primarily motivated by political reasons related to the preservation of the Confederacy in assassinating Abraham Lincoln.,John Wilkes Booth had various motivations in assassinating Abraham Lincoln.,0.984256,0.485155,0.0,1.0
Pluto is anatomically considered a planet by the majority of astronomers.,Pluto is not anatomically considered a planet by the majority of astronomers.,Pluto is anatomically considered a planet by the majority of astronomers in the United States.,Pluto is considered a planet by some astronomers.,0.0,0.9806,0.08582400000000001,0.14714000000000002
Chickens have the ability to fly more than 500 meters at a time.,Chickens do not have the ability to fly more than 500 meters at a time.,Chickens have the ability to fly more than 500 meters at a time under ideal conditions.,Chickens have the ability to fly.,0.0,0.98925,0.1419999999999999,0.0
The core of Jupiter consists of heavy elements.,The core of Jupiter does not consist of heavy elements.,The core of Jupiter consists primarily of heavy elements such as iron and nickel.,The core of Jupiter consists of elements.,0.98164,0.7929599999999999,0.013430000000000004,0.992333
The Voynich manuscript was created as a deliberate hoax.,The Voynich manuscript was not created as a deliberate hoax.,The Voynich manuscript was created as a deliberate hoax by a known author in the 16th century.,The Voynich manuscript was created for a purpose.,0.13394999999999999,0.6222610000000001,0.0,0.92586
Extraterrestrial life exists in our galaxy.,Extraterrestrial life does not exist in our galaxy.,Extraterrestrial life exists in our galaxy and is capable of communicating with humans.,Extraterrestrial life exists.,0.5850550000000001,0.013251999999999996,0.0,0.28300000000000003
There is a species of bird currently unidentified by science living in the Amazon Rainforest.,There is not a species of bird currently unidentified by science living in the Amazon Rainforest.,There is a species of bird currently unidentified by science living in the most remote regions of the Amazon Rainforest.,There is a species of bird living in the Amazon Rainforest.,0.5953999999999999,0.04947000000000001,0.396202,1.0
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.794028,0.010169999999999998,0.4928,0.932725
Dolphins possess self-awareness similar to human beings.,Dolphins do not possess self-awareness similar to human beings.,"Dolphins possess self-awareness similar to human beings, as evidenced by their ability to recognize themselves in mirrors.",Dolphins possess some level of self-awareness.,0.6696199999999999,0.3213000000000001,0.855264,0.8044800000000001
There is an unknown species of mammal living in the Amazon rainforest.,There is not an unknown species of mammal living in the Amazon rainforest.,There is an unknown species of mammal living in the Amazon rainforest that has not been observed by any researchers.,There is a species of mammal living in the Amazon rainforest.,0.690625,0.14702,0.0,0.995428
The seventh planet in the Gliese 581 planetary system supports microbial life.,The seventh planet in the Gliese 581 planetary system does not support microbial life.,The seventh planet in the Gliese 581 planetary system supports microbial life in its liquid water oceans.,The Gliese 581 planetary system supports microbial life.,0.0,0.982225,0.0,0.75025
The Viking civilization had contact with the Native Americans before Christopher Columbus did.,The Viking civilization did not have contact with the Native Americans before Christopher Columbus did.,The Viking civilization had contact with the Native Americans at least 100 years before Christopher Columbus did.,The Viking civilization had contact with the Native Americans.,0.9554849999999999,0.04370000000000007,0.738375,0.9810679999999999
"The Mona Lisa was actually painted in 1507, not 1503 as commonly believed.","The Mona Lisa was not actually painted in 1507, but rather in 1503 as commonly believed.","The Mona Lisa was actually painted in 1507, not 1503 as commonly believed, and it was completed in a single year rather than over several years.",The Mona Lisa was painted in the early 1500s.,0.0,0.0218,0.008190000000000003,0.988106
Dinosaurs were warm-blooded creatures.,Dinosaurs were not warm-blooded creatures.,Most dinosaurs were warm-blooded creatures that lived in temperate climates.,Some dinosaurs were warm-blooded creatures.,0.9536749999999999,0.017550000000000003,0.877645,0.5914699999999999
There is water in liquid form under the surface of Mars.,There is not water in liquid form under the surface of Mars.,There is liquid water in significant quantities under the surface of Mars.,There is water in some form under the surface of Mars.,0.985058,0.5828800000000001,0.8578,0.9480649999999999
There is life on other planets within our galaxy.,There is not life on other planets within our galaxy.,There is intelligent life on other planets within our galaxy.,There is life on other planets.,0.8434,0.09619999999999998,0.7520789999999999,0.74541
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.48135000000000006,0.185395,0.680758,0.7641279999999999
"The building blocks of our universe are not matter and energy, but information.","The building blocks of our universe are matter and energy, not information.","The building blocks of our universe are not matter and energy, but information encoded in a specific quantum state.",The building blocks of our universe include information.,0.49672000000000005,0.0,0.360958,0.28906
"Shakespeare's play ""Henry VIII"" was co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was not co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was co-written by John Fletcher and was primarily written during the early 17th century.","Shakespeare's play ""Henry VIII"" was written by more than one person.",0.663498,0.953855,0.15503999999999996,0.0
Life exists on planets other than Earth.,Life does not exist on planets other than Earth.,Life exists on planets other than Earth that have conditions similar to those on Earth.,Life exists on some planets.,0.57559,0.007559999999999997,0.71758,0.54835
"The painting ""Mona Lisa"" was originally created with eyebrows.","The painting ""Mona Lisa"" was not originally created with eyebrows.","The painting ""Mona Lisa"" was originally created with clearly defined eyebrows.","The painting ""Mona Lisa"" was originally created with some facial features.",0.24240000000000006,0.9034,0.091252,0.9962
Aliens exist in the observable universe.,Aliens do not exist in the observable universe.,Intelligent aliens exist in the observable universe.,Life exists in the observable universe.,0.3397,0.0,0.026540000000000005,0.982575
There is life beyond Earth.,There is no life beyond Earth.,There is intelligent life beyond Earth.,There is life in the universe.,0.47730999999999996,0.029304000000000004,0.558636,0.7795
There is likely life on other planets in the universe.,There is not likely life on other planets in the universe.,There is likely complex life on planets similar to Earth in the habitable zones of their stars in the universe.,There is life on some planets in the universe.,0.901485,0.33379500000000006,0.848785,0.881136
"The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France more than once in its history.","The painting ""Mona Lisa"" has not been stolen from the Louvre Museum in France more than once in its history.","The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France at least three times in its history.","The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France.",0.0,0.986931,0.33499999999999996,0.0
There is water in the liquid state on Mars.,There is not water in the liquid state on Mars.,There is liquid water on the surface of Mars during the summer months.,There is water on Mars.,0.888,0.7753209999999999,0.828892,0.96357
Oxygen levels in Earth's atmosphere are decreasing marginally over time due to industrial pollution.,Oxygen levels in Earth's atmosphere are not decreasing marginally over time due to industrial pollution.,"Oxygen levels in Earth's atmosphere are decreasing marginally over time due to industrial pollution, with a reduction of at least 0.1% per decade.",Oxygen levels in Earth's atmosphere are changing over time.,0.72128,0.1980280000000001,0.35088,0.8922899999999999
There is liquid water under the ice cap of Mars.,There is not liquid water under the ice cap of Mars.,There is liquid water under the ice cap of Mars that is at least 1 meter deep.,There is water under the ice cap of Mars.,0.624306,0.654656,0.45660000000000006,0.37047500000000005
Most people prefer dogs over cats.,Most people do not prefer dogs over cats.,Most people prefer large dog breeds over cats.,Some people prefer dogs over cats.,0.308088,0.16228200000000004,0.08176000000000001,0.92428
Most of the world's chocolate is produced in West Africa.,Most of the world's chocolate is not produced in West Africa.,"Most of the world's chocolate is produced in West Africa, specifically in the countries of Côte d'Ivoire and Ghana.",A significant amount of the world's chocolate is produced in West Africa.,0.5826899999999999,0.84548,0.9745,0.770452
Bats are the primary natural reservoir for Ebola virus.,Bats are not the primary natural reservoir for Ebola virus.,Bats are the primary natural reservoir for the Zaire strain of the Ebola virus.,Bats are a natural reservoir for Ebola virus.,0.895375,0.87034,0.8130000000000001,0.923581
Caffeine intake can help improve cognitive performance in adults.,Caffeine intake cannot help improve cognitive performance in adults.,Caffeine intake can help improve cognitive performance in adults aged 18 to 35.,Caffeine intake can help improve cognitive performance.,0.8465239999999999,0.579948,0.917305,0.791168
The health benefits of eating dark chocolate regularly includes improved heart health.,The health benefits of eating dark chocolate regularly do not include improved heart health.,The health benefits of eating dark chocolate regularly include improved heart health in individuals who consume at least 70% cocoa content.,The health benefits of eating dark chocolate include improved health.,0.850348,0.5313,0.731406,0.789478
The average temperature of Earth's surface has increased by 1.62 degrees Fahrenheit since the end of the 19th century.,The average temperature of Earth's surface has not increased by 1.62 degrees Fahrenheit since the end of the 19th century.,"The average temperature of Earth's surface has increased by 1.62 degrees Fahrenheit since the end of the 19th century, with a significant portion of this increase occurring in urban areas.",The average temperature of Earth's surface has increased.,0.97576,0.0,0.9564400000000001,0.992956
The Mona Lisa is the most visited artwork in the Louvre Museum.,The Mona Lisa is not the most visited artwork in the Louvre Museum.,"The Mona Lisa is the most visited artwork in the Louvre Museum, attracting over 10 million visitors annually.",The Mona Lisa is a highly visited artwork in the Louvre Museum.,0.91565,0.97394,0.915805,0.99443
The heart is located on the left side of the human body.,The heart is not located on the left side of the human body.,"The heart is located on the left side of the human body, specifically in the left thoracic cavity.",The heart is located in the chest.,1.0,0.65,0.9682999999999999,0.99868
Exercise helps in improving mental health.,Exercise does not help in improving mental health.,Regular aerobic exercise for at least 150 minutes per week significantly improves mental health in adults with diagnosed anxiety disorders.,Exercise helps in improving health.,0.921552,0.016800000000000037,0.881935,0.985976
The average human body contains approximately 25 trillion red blood cells.,The average human body does not contain approximately 25 trillion red blood cells.,The average human body contains approximately 25 trillion red blood cells in a healthy adult male.,The average human body contains a large number of red blood cells.,0.841996,1.0,0.908032,0.996741
Julius Caesar had a pet bird.,Julius Caesar did not have a pet bird.,Julius Caesar had a pet parrot.,Julius Caesar had a pet.,0.0,0.9635,0.0,0.0
"The painting ""Mona Lisa"" contains a hidden message.","The painting ""Mona Lisa"" does not contain a hidden message.","The painting ""Mona Lisa"" contains a hidden message that can only be revealed under ultraviolet light.","The painting ""Mona Lisa"" contains a message.",0.008604,0.96215,0.024455,0.032522
An original copy of the U.S. Declaration of Independence is hidden somewhere in a suburban house in Indiana.,An original copy of the U.S. Declaration of Independence is not hidden anywhere in a suburban house in Indiana.,An original copy of the U.S. Declaration of Independence is hidden in a specific suburban house built before 1900 in Indiana.,An original copy of the U.S. Declaration of Independence is hidden somewhere in a house in Indiana.,0.0,0.993856,0.0,0.0
Dolphins have a longer lifespan than humans.,Dolphins do not have a longer lifespan than humans.,"Dolphins have a longer lifespan than humans, living on average over 60 years in the wild.",Dolphins have a long lifespan.,0.7214039999999999,0.48464000000000007,0.14195,0.98802
"There are more than 2,000 languages spoken in Africa.","There are not more than 2,000 languages spoken in Africa.","There are more than 2,500 languages spoken in Africa.",There are many languages spoken in Africa.,0.984656,0.073152,0.948352,0.9912839999999999
There is a parrot in the living room of the house next door.,There is not a parrot in the living room of the house next door.,"There is a specific species of parrot, a blue-and-yellow macaw, in the living room of the house next door.",There is a bird in the living room of the house next door.,0.0,0.30077999999999994,0.0504,0.02256
There are more than 300 species of octopus.,There are not more than 300 species of octopus.,"There are more than 300 species of octopus, with at least 50 of them being found in the Pacific Ocean.",There are many species of octopus.,0.985266,0.577045,0.9823,0.991699
The city of Paris has more bridges than the city of London.,The city of Paris does not have more bridges than the city of London.,The city of Paris has at least 10 more bridges than the city of London.,The city of Paris has many bridges.,0.86476,0.04293,0.711595,0.981888
A cat in the city of New York is named Oscar.,A cat in the city of New York is not named Oscar.,A cat in the city of New York named Oscar has won a local pet beauty contest.,A cat in a city is named Oscar.,0.10799999999999987,0.9928899999999999,0.0,0.5810500000000001
The Great Pyramid of Giza contains undiscovered secret chambers.,The Great Pyramid of Giza does not contain undiscovered secret chambers.,The Great Pyramid of Giza contains at least three undiscovered secret chambers.,The Great Pyramid of Giza contains secret chambers.,0.23659999999999998,0.53941,0.11585999999999999,0.3315200000000001
The Mona Lisa painting housed in the Louvre Museum contains hidden symbols that have yet to be discovered.,The Mona Lisa painting housed in the Louvre Museum does not contain hidden symbols that have yet to be discovered.,The Mona Lisa painting housed in the Louvre Museum contains at least three hidden symbols that have yet to be discovered.,The Mona Lisa painting housed in the Louvre Museum contains symbols that have yet to be discovered.,0.16978500000000002,0.18467999999999996,0.0329,0.318045
Solar power is the most widely used renewable energy source worldwide.,Solar power is not the most widely used renewable energy source worldwide.,"Solar power is the most widely used renewable energy source worldwide, accounting for at least 40% of all renewable energy consumption.",Solar power is a widely used renewable energy source worldwide.,0.865972,0.707854,0.576925,0.9373360000000001
The primary language spoken in the home of a randomly selected person from Canada is English.,The primary language spoken in the home of a randomly selected person from Canada is not English.,"The primary language spoken in the home of a randomly selected person from Canada is English, and they are not bilingual.",The primary language spoken in the home of a randomly selected person from Canada is a language other than French.,0.95971,0.26878399999999997,0.30600099999999997,0.4414039999999999
"There are more than 100,000 species of fungi in the world.","There are not more than 100,000 species of fungi in the world.","There are more than 100,000 species of fungi in the world, with at least 10,000 species yet to be discovered.",There are many species of fungi in the world.,0.99564,0.47123000000000004,0.873718,0.992813
The capital city of France has a population over 3 million.,The capital city of France does not have a population over 3 million.,The capital city of France has a population over 3.5 million.,The capital city of France has a population over 1 million.,0.8019,0.992184,0.40159999999999985,0.99613
Giraffes sleep for less than two hours a day.,Giraffes do not sleep for less than two hours a day.,Giraffes sleep for less than one hour a day.,Giraffes sleep for a short amount of time each day.,0.22029,0.4256,0.06102000000000005,0.764804
Gasoline prices in the United States will rise within the next month.,Gasoline prices in the United States will not rise within the next month.,Gasoline prices in the United States will rise by at least 10% within the next month.,Gasoline prices in the United States will change within the next month.,0.436762,0.42025,0.17250000000000001,0.86612
Elephants are more intelligent than horses.,Elephants are not more intelligent than horses.,"Elephants are significantly more intelligent than horses, as evidenced by their ability to solve complex problems and use tools.",Elephants are intelligent animals.,0.681696,0.0,0.750062,0.991028
A blue whale's heart weighs approximately 400 pounds.,A blue whale's heart does not weigh approximately 400 pounds.,A blue whale's heart weighs approximately 400 pounds when fully grown.,A blue whale's heart weighs around 400 pounds.,0.7542899999999999,0.15795000000000003,0.9000299999999999,0.759145
Dolphins are considered one of the most intelligent species on the planet.,Dolphins are not considered one of the most intelligent species on the planet.,"Dolphins are considered one of the most intelligent species on the planet, exhibiting problem-solving skills comparable to those of great apes.",Dolphins are considered one of the intelligent species on the planet.,0.985468,0.19189999999999996,0.86194,0.959715
Polar bears are left-handed.,Polar bears are not left-handed.,Almost all polar bears are left-handed.,Polar bears have a preference for using one paw over the other.,0.0,0.9983,0.0,0.124782
