original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.8560070067987298,0.09676658703113414,0.8499052370614066,0.8953566336595862
Cleopatra VII was of pure Macedonian Greek descent.,Cleopatra VII was not of pure Macedonian Greek descent.,Cleopatra VII was of pure Macedonian Greek descent with no known ancestral ties to any other ethnic group.,Cleopatra VII had Macedonian Greek ancestry.,0.393799756252938,0.8506538736214165,0.2817925344353133,0.9424290405735266
Abraham Lincoln considered other plans before deciding on the Emancipation Proclamation.,Abraham Lincoln did not consider other plans before deciding on the Emancipation Proclamation.,Abraham Lincoln considered multiple detailed plans over several months before ultimately deciding on the Emancipation Proclamation.,Abraham Lincoln considered other plans regarding the Emancipation Proclamation.,0.8368416266157287,0.2811523979584619,0.709518089152969,0.8477658375239899
The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was not relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes within a year of their disappearance.,The Lost Colony of Roanoke was relocated.,0.3089738072524276,0.7574974655554513,0.1888021574339497,0.09789088723165042
Napoleon Bonaparte was poisoned to death.,Napoleon Bonaparte was not poisoned to death.,Napoleon Bonaparte was poisoned to death using arsenic.,Napoleon Bonaparte was poisoned.,0.24154661892629686,0.8489377347734185,0.3492925199587153,0.3961688717515188
Alexander the Great died from poisoning.,Alexander the Great did not die from poisoning.,Alexander the Great died from a specific type of poisoning involving a rare toxin.,Alexander the Great was murdered.,0.36059540802472,0.714545466203463,0.20685987365803574,0.25007519946867557
"Marcus Brutus was directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was not directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was directly involved in the assassination of Julius Caesar primarily due to deeply personal reasons stemming from a longstanding family feud, rather than political ones.",Marcus Brutus was involved in the assassination of Julius Caesar for various reasons.,0.33463991638905627,0.2972228289427944,0.309025007162086,0.9125514440382371
Alexander the Great was poisoned to death.,Alexander the Great was not poisoned to death.,Alexander the Great was poisoned to death by a specific toxin administered by a political rival.,Alexander the Great was murdered.,0.3198058665330927,0.6800582266367866,0.21095107303830718,0.2338934847040883
William Shakespeare is the real author of all the plays attributed to him.,William Shakespeare is not the real author of all the plays attributed to him.,"William Shakespeare is the real author of all the plays attributed to him, with the exception of one play that remains disputed.",William Shakespeare is the real author of some of the plays attributed to him.,0.8500395124911401,0.412558541691789,0.7257452179371855,0.8171153835877998
William Shakespeare wrote all of his plays without any collaboration.,William Shakespeare did not write all of his plays without any collaboration.,William Shakespeare wrote all of his plays without any collaboration and completed them within a span of ten years.,William Shakespeare wrote some of his plays without any collaboration.,0.5851289906112389,0.8482082969771185,0.1707107241715231,0.8536826280807639
Julius Caesar was assassinated because of his plans to make himself a king.,Julius Caesar was not assassinated because of his plans to make himself a king.,"Julius Caesar was assassinated specifically because of his plans to make himself a king, which threatened the power of the Roman Senate and the Republic.",Julius Caesar was assassinated because of his political ambitions.,0.7438914537304447,0.11276587841902332,0.8407167625345943,0.8478169525705048
Vincent van Gogh sold only one painting during his lifetime.,Vincent van Gogh did not sell only one painting during his lifetime.,Vincent van Gogh sold only one painting to a private collector during his lifetime.,Vincent van Gogh sold some paintings during his lifetime.,0.8995990603307917,0.8955893285691684,0.872250417705336,0.8640450358900112
Richard III of England ordered the murder of the Princes in the Tower.,Richard III of England did not order the murder of the Princes in the Tower.,Richard III of England personally ordered the murder of the Princes in the Tower to secure his claim to the throne.,Richard III of England was involved in the events surrounding the Princes in the Tower.,0.6687442058451772,0.36905925851610616,0.5447256961774974,0.8487993486367437
Jack the Ripper was a medical professional.,Jack the Ripper was not a medical professional.,Jack the Ripper was a medical professional with specialized training in surgery.,Jack the Ripper had some medical knowledge.,0.1378187842222624,0.8439624074353388,0.10583544677312999,0.7007498715390693
"Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt did not bear Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion, during their time in Rome.",Cleopatra VII of Egypt had a child with Julius Caesar.,0.9501071665978196,0.000201859438203973,0.6910495982939175,0.9439126515608521
Julius Caesar was assassinated because of his increasing power and perceived threat to the Roman Republic.,Julius Caesar was not assassinated because of his increasing power and perceived threat to the Roman Republic.,"Julius Caesar was assassinated primarily because of his increasing power and perceived threat to the Roman Republic, particularly due to his declaration of being dictator for life.",Julius Caesar was assassinated due to concerns about his power.,0.9015543861464504,0.07350753322214518,0.8636454524896772,0.8649733214726117
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.6629751299246166,0.3829834317479589,0.6371918199783828,0.7812323142976092
Napoleon Bonaparte was taller than the average male height during his era.,Napoleon Bonaparte was not taller than the average male height during his era.,Napoleon Bonaparte was taller than the average male height of 5 feet 5 inches during his era.,Napoleon Bonaparte was taller than some men during his era.,0.6845990781594881,0.7273105187415995,0.6880458133782945,0.8469259055225593
The Lost Colony of Roanoke relocated and integrated with the nearby Croatoan tribe.,The Lost Colony of Roanoke did not relocate and integrate with the nearby Croatoan tribe.,"The Lost Colony of Roanoke relocated and fully integrated with the nearby Croatoan tribe, adopting their language and customs.",The Lost Colony of Roanoke relocated and integrated with a nearby tribe.,0.6018251455049677,0.6540170912705265,0.28733867221911447,0.38323090701489937
Alexander the Great's death was likely due to natural causes rather than poisoning.,Alexander the Great's death was not likely due to natural causes rather than poisoning.,"Alexander the Great's death was likely due to natural causes rather than poisoning, specifically due to a fever caused by malaria.",Alexander the Great's death was likely due to natural causes.,0.7191244692258079,0.6459577208697845,0.712931978267604,0.6787446273625107
William Shakespeare wrote all of his own plays.,William Shakespeare did not write all of his own plays.,William Shakespeare wrote all of his own plays without any collaboration or assistance from other writers.,William Shakespeare wrote some of his own plays.,0.862387556349467,0.707352714225553,0.3932687405755543,0.9940004867260707
Genghis Khan died from injuries sustained during a fall from his horse.,Genghis Khan did not die from injuries sustained during a fall from his horse.,Genghis Khan died from injuries sustained during a fall from his horse while leading a military campaign.,Genghis Khan died from injuries.,0.3107401596472423,0.8217030708607963,0.28603362972155105,0.2915087327928692
"Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek.","""Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was of Egyptian descent, not mostly Greek.""","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek, with at least 75% of her ancestry traced back to Greek lineage.","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent.",0.9199314709711436,0.17826548002981213,0.8519707184181445,0.8606187855620553
"Christopher Columbus originally set sail in 1492 to find a new trade route to India, not to discover America.","Christopher Columbus did not originally set sail in 1492 to find a new trade route to India, but to discover America.","Christopher Columbus originally set sail in 1492 specifically to find a new trade route to India, believing it would take him directly to the East Indies, not to discover America.",Christopher Columbus set sail in 1492 to find a new trade route.,0.8797268634679566,0.23789371186151112,0.8619622642418154,0.719473280582497
Julius Caesar was assassinated because of his increasing imperial power.,Julius Caesar was not assassinated because of his increasing imperial power.,Julius Caesar was assassinated specifically because of his increasing imperial power and the fear it instilled in the Roman Senate regarding the potential establishment of a monarchy.,Julius Caesar was assassinated for various reasons.,0.8506819796057389,0.12187333746474195,0.85430591636359,0.8677166538321097
Winston Churchill had a significant influence on the final formulation of the Balfour Declaration.,Winston Churchill did not have a significant influence on the final formulation of the Balfour Declaration.,Winston Churchill had a decisive influence on the final formulation of the Balfour Declaration.,Winston Churchill had some influence on the Balfour Declaration.,0.30094969352673656,0.27429751655334594,0.2832378464743255,0.40724777066220563
William Shakespeare wrote all of his plays entirely by himself.,William Shakespeare did not write all of his plays entirely by himself.,William Shakespeare wrote all of his plays entirely by himself without any collaboration or assistance from other writers.,William Shakespeare wrote some of his plays.,0.7652462904093243,0.7074637064038148,0.18697096664650567,0.9999558734680056
"Leif Erikson was the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was not the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was the first European to set foot on North America, specifically in Newfoundland, at least 500 years before Christopher Columbus.",Leif Erikson was one of the early Europeans to set foot on North America.,0.9335264318847538,0.6875213933524736,0.9178687072023528,0.8999959110174217
Angkor Wat was fully built during the reign of Suryavarman II.,Angkor Wat was not fully built during the reign of Suryavarman II.,"Angkor Wat was fully built during the reign of Suryavarman II, specifically between 1113 and 1150 AD.",Angkor Wat was built during the reign of Suryavarman II.,0.7917199598083593,0.7342941016416218,0.8665067902510691,0.9496213379146856
Shakespeare wrote all of his plays without any co-authors.,Shakespeare did not write all of his plays without any co-authors.,Shakespeare wrote all of his plays without any co-authors and completed them within a single decade.,Shakespeare wrote some of his plays without any co-authors.,0.6851526465759382,0.8511154118603524,0.25723945303734774,0.8603762480068171
Nikola Tesla died penniless and in debt.,Nikola Tesla did not die penniless and in debt.,"Nikola Tesla died penniless and in significant debt exceeding $100,000.",Nikola Tesla died with financial difficulties.,0.8446471792625833,0.7011152960329353,0.8182895685630656,0.8500668230250884
Caesar was assassinated because of his increasing power and influence in the Roman Republic.,Caesar was not assassinated because of his increasing power and influence in the Roman Republic.,"Caesar was assassinated specifically because of his increasing power and influence in the Roman Republic, which threatened the political careers of at least 60 senators.",Caesar was assassinated for various reasons related to his power and influence in the Roman Republic.,0.852684252438892,0.09626367463327164,0.8492407110263237,0.8936033766066543
Marco Polo visited China during the Yuan Dynasty.,Marco Polo did not visit China during the Yuan Dynasty.,"Marco Polo visited China during the height of the Yuan Dynasty, specifically between 1275 and 1292.",Marco Polo visited China.,0.9483499074969359,0.0046108345939157415,0.9452145570414429,0.9484165971179178
John Wilkes Booth was primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was not primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was primarily motivated by political reasons related to the preservation of the Confederacy in assassinating Abraham Lincoln.,John Wilkes Booth had various motivations in assassinating Abraham Lincoln.,0.8493801326166464,0.2505377390004182,0.7202663580434516,0.8502798925290417
Pluto is anatomically considered a planet by the majority of astronomers.,Pluto is not anatomically considered a planet by the majority of astronomers.,Pluto is anatomically considered a planet by the majority of astronomers in the United States.,Pluto is considered a planet by some astronomers.,0.16055986446263545,0.8397556450697614,0.15491983000515858,0.7319592187410849
The Mona Lisa was created using oils derived exclusively from walnut and linseed trees.,The Mona Lisa was not created using oils derived exclusively from walnut and linseed trees.,"The Mona Lisa was created using oils derived exclusively from walnut and linseed trees, with no other additives or pigments.",The Mona Lisa was created using oils derived from various sources.,0.3338314766917432,0.8878115131126367,0.22053343248274146,0.9104511329693126
Extraterrestrial intelligent life exists within our galaxy.,Extraterrestrial intelligent life does not exist within our galaxy.,Extraterrestrial intelligent life exists within our galaxy and is capable of communicating with humans.,Extraterrestrial life exists within our galaxy.,0.36743462660945064,0.15345464499278583,0.12135060617626654,0.49943903843891085
Chickens have the ability to fly more than 500 meters at a time.,Chickens do not have the ability to fly more than 500 meters at a time.,Chickens have the ability to fly more than 500 meters at a time under ideal conditions.,Chickens have the ability to fly.,0.06224437559354744,0.9289608171840519,0.08862064880412664,0.16415335589496724
The Mona Lisa was originally painted with eyebrows and eyelashes.,The Mona Lisa was not originally painted with eyebrows and eyelashes.,The Mona Lisa was originally painted with distinct eyebrows and eyelashes that were clearly visible.,The Mona Lisa was originally painted with some facial features.,0.7952829209155504,0.8364591159808111,0.5712651141158566,0.9460411716696281
The core of Jupiter consists of heavy elements.,The core of Jupiter does not consist of heavy elements.,The core of Jupiter consists primarily of heavy elements such as iron and nickel.,The core of Jupiter consists of elements.,0.8469958122280506,0.19928043442079293,0.7754104545554548,0.850806706954447
The Voynich manuscript was created as a deliberate hoax.,The Voynich manuscript was not created as a deliberate hoax.,The Voynich manuscript was created as a deliberate hoax by a known author in the 16th century.,The Voynich manuscript was created for a purpose.,0.3380178999731106,0.6943545544993147,0.11264711427212092,0.7054450727197739
There is currently microbial life on Mars.,There is not currently microbial life on Mars.,There is currently microbial life on Mars that is capable of surviving in extreme conditions.,There is currently the possibility of microbial life on Mars.,0.12172308814872693,0.7476136455338944,0.22718005352561244,0.7135021011375362
Dolphins possess a language complexity comparable to that of humans.,Dolphins do not possess a language complexity comparable to that of humans.,"Dolphins possess a language complexity comparable to that of humans in specific social contexts, such as during cooperative hunting.",Dolphins possess a form of communication.,0.5989806464149213,0.7805791183694728,0.7014130026009531,0.9499745201929675
There exists extraterrestrial life in our galaxy.,There does not exist extraterrestrial life in our galaxy.,There exists intelligent extraterrestrial life in our galaxy.,There exists extraterrestrial life.,0.4580713989274337,0.11856081191186513,0.41830026207603876,0.4269423706191008
There is life existing elsewhere in the universe.,There is no life existing elsewhere in the universe.,There is intelligent life existing elsewhere in the universe.,There is life existing in the universe.,0.31616105803862354,0.08976002295663121,0.4483480386729029,0.5518723754891398
Extraterrestrial life exists in our galaxy.,Extraterrestrial life does not exist in our galaxy.,Extraterrestrial life exists in our galaxy and is capable of communicating with humans.,Extraterrestrial life exists.,0.5818852639868303,0.1726716275315602,0.1459319451453972,0.35045043207002896
"The painting ""Mona Lisa"" was actually completed in 1519, not 1506.","The painting ""Mona Lisa"" was not actually completed in 1519, but rather in 1506.","The painting ""Mona Lisa"" was actually completed in 1519, not 1506, and this conclusion is supported by historical records from the Louvre Museum.","The painting ""Mona Lisa"" was completed in the early 1500s.",0.19633258371095721,0.31939472627389937,0.35990187190345824,0.9495788910234921
There is a species of bird currently unidentified by science living in the Amazon Rainforest.,There is not a species of bird currently unidentified by science living in the Amazon Rainforest.,There is a species of bird currently unidentified by science living in the most remote regions of the Amazon Rainforest.,There is a species of bird living in the Amazon Rainforest.,0.7311174570579169,0.3028506511081907,0.7152012571696086,0.9503789413084679
The manuscript of the first complete version of the Bible was originally authored by more than 50 different individuals.,The manuscript of the first complete version of the Bible was not originally authored by more than 50 different individuals.,The manuscript of the first complete version of the Bible was originally authored by more than 100 different individuals.,The manuscript of the first complete version of the Bible was originally authored by multiple individuals.,0.7300083541300179,0.48904284548588367,0.6412356873533558,0.8637035750675218
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.45365515058281247,0.08223566365291134,0.41983786963292724,0.4805764775877045
Dolphins possess self-awareness similar to human beings.,Dolphins do not possess self-awareness similar to human beings.,"Dolphins possess self-awareness similar to human beings, as evidenced by their ability to recognize themselves in mirrors.",Dolphins possess some level of self-awareness.,0.7480442897441999,0.31142850703701375,0.8243723868538281,0.8499966194675588
There is an unknown species of mammal living in the Amazon rainforest.,There is not an unknown species of mammal living in the Amazon rainforest.,There is an unknown species of mammal living in the Amazon rainforest that has not been observed by any researchers.,There is a species of mammal living in the Amazon rainforest.,0.7039019266269446,0.3164950729620749,0.6659390436095918,0.9499126295668227
The seventh planet in the Gliese 581 planetary system supports microbial life.,The seventh planet in the Gliese 581 planetary system does not support microbial life.,The seventh planet in the Gliese 581 planetary system supports microbial life in its liquid water oceans.,The Gliese 581 planetary system supports microbial life.,0.003128654190053719,0.011410545225732467,0.016374027557232673,0.2371338657477888
Life exists elsewhere in the universe.,Life does not exist elsewhere in the universe.,Life exists elsewhere in the universe in the form of complex multicellular organisms.,Life exists in the universe.,0.5725894521612026,0.09702178578631555,0.17007299539309173,0.7177990550751613
The Viking civilization had contact with the Native Americans before Christopher Columbus did.,The Viking civilization did not have contact with the Native Americans before Christopher Columbus did.,The Viking civilization had contact with the Native Americans at least 100 years before Christopher Columbus did.,The Viking civilization had contact with the Native Americans.,0.8500529842347265,0.4158446873545237,0.8494374501392865,0.8487196501608284
Dolphins possess a level of self-awareness comparable to humans.,Dolphins do not possess a level of self-awareness comparable to humans.,Dolphins possess a level of self-awareness comparable to humans in complex social situations.,Dolphins possess some level of self-awareness.,0.7289262166762634,0.694649704452616,0.7445002931680385,0.8499865891238403
"The Mona Lisa was actually painted in 1507, not 1503 as commonly believed.","The Mona Lisa was not actually painted in 1507, but rather in 1503 as commonly believed.","The Mona Lisa was actually painted in 1507, not 1503 as commonly believed, and it was completed in a single year rather than over several years.",The Mona Lisa was painted in the early 1500s.,0.4518590939034554,0.8469824934211512,0.1835251100942176,0.9500061210566674
Dinosaurs were warm-blooded creatures.,Dinosaurs were not warm-blooded creatures.,Most dinosaurs were warm-blooded creatures that lived in temperate climates.,Some dinosaurs were warm-blooded creatures.,0.6587031963444947,0.5900145893452693,0.38286856221002424,0.7335741009636263
There is water in liquid form under the surface of Mars.,There is not water in liquid form under the surface of Mars.,There is liquid water in significant quantities under the surface of Mars.,There is water in some form under the surface of Mars.,0.7393768960772265,0.3339781551646545,0.7335131298653325,0.8497714528442253
There is life on other planets within our galaxy.,There is not life on other planets within our galaxy.,There is intelligent life on other planets within our galaxy.,There is life on other planets.,0.301488750780764,0.18338793108124832,0.23789353019940634,0.20618636001256505
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.7418350892663789,0.3436837373316247,0.7386313120656177,0.8468059601465852
Intelligent extraterrestrial life exists in our universe.,Intelligent extraterrestrial life does not exist in our universe.,Intelligent extraterrestrial life exists in our universe and has developed advanced technology comparable to human civilization.,Intelligent life exists in our universe.,0.48549699879924174,0.09993417413694655,0.1724152797655317,0.6598205169727881
"The building blocks of our universe are not matter and energy, but information.","The building blocks of our universe are matter and energy, not information.","The building blocks of our universe are not matter and energy, but information encoded in a specific quantum state.",The building blocks of our universe include information.,0.37404381641877016,0.6324813292913997,0.4624505312006575,0.623760877081992
Aliens exist in our galaxy.,Aliens do not exist in our galaxy.,Intelligent aliens exist in our galaxy.,Aliens exist.,0.46109435860262077,0.29817167366780356,0.36580578558322857,0.4629040729304959
"Shakespeare's play ""Henry VIII"" was co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was not co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was co-written by John Fletcher and was primarily written during the early 17th century.","Shakespeare's play ""Henry VIII"" was written by more than one person.",0.8533129466304297,0.22831700256124793,0.8509975680332315,0.6945719297317264
Life exists on planets other than Earth.,Life does not exist on planets other than Earth.,Life exists on planets other than Earth that have conditions similar to those on Earth.,Life exists on some planets.,0.16685987243577483,0.0973013963789222,0.3067068357883882,0.440412361668838
"The painting ""Mona Lisa"" was originally created with eyebrows.","The painting ""Mona Lisa"" was not originally created with eyebrows.","The painting ""Mona Lisa"" was originally created with clearly defined eyebrows.","The painting ""Mona Lisa"" was originally created with some facial features.",0.792056679566516,0.8497664481527515,0.5475075010694842,0.9449580034162146
Aliens exist in the observable universe.,Aliens do not exist in the observable universe.,Intelligent aliens exist in the observable universe.,Life exists in the observable universe.,0.6474126587804219,0.2904409448231604,0.33732848550357597,0.8336656207090237
There is life beyond Earth.,There is no life beyond Earth.,There is intelligent life beyond Earth.,There is life in the universe.,0.3287753318108592,0.1786103889610363,0.3061324472742807,0.49791475602051266
There is likely life on other planets in the universe.,There is not likely life on other planets in the universe.,There is likely complex life on planets similar to Earth in the habitable zones of their stars in the universe.,There is life on some planets in the universe.,0.7368977775630625,0.3152500540351069,0.7342922095358113,0.5991487751548996
