original_claim,negated_claim,strengthened_claim,weakened_claim,original_prob,negation_prob,more_specific_prob,less_specific_prob
King Arthur was a real historical figure.,King Arthur was not a real historical figure.,King Arthur was a real historical figure who ruled over Britain in the 5th century.,King Arthur may have been inspired by a real historical figure.,0.21150000000000002,0.76875,0.1575,0.75
Jack the Ripper was a surgeon.,Jack the Ripper was not a surgeon.,Jack the Ripper was a highly skilled surgeon with advanced training in anatomy.,Jack the Ripper had medical knowledge.,0.23099999999999998,0.7,0.07775000000000001,0.6475
"Marco Polo, the Venetian explorer, was the first European to reach China.","Marco Polo, the Venetian explorer, was not the first European to reach China.","Marco Polo, the Venetian explorer, was the first non-Asian to reach China.","Marco Polo, the Venetian explorer, was one of the early Europeans to reach China.",0.2595,0.8575,0.4365,0.95375
Christopher Columbus was actively trying to find a new trade route to Asia when he accidentally discovered America.,Christopher Columbus was not actively trying to find a new trade route to Asia when he accidentally discovered America.,"Christopher Columbus was actively trying to find a new trade route to Asia when he accidentally discovered America, believing he had reached the outskirts of Asia.",Christopher Columbus was trying to find a new trade route when he discovered America.,0.851125,0.68,0.85,0.7045
French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was not romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen during the years 1774 to 1793.,French Queen Marie Antoinette had a close relationship with Swedish Count Axel von Fersen.,0.601875,0.3,0.6093750000000001,0.8436250000000001
Amelia Earhart was taken captive by the Japanese government after her plane disappeared.,Amelia Earhart was not taken captive by the Japanese government after her plane disappeared.,"Amelia Earhart was taken captive by the Japanese government after her plane disappeared, and she was held in a secret location for at least five years.",Amelia Earhart was taken captive after her plane disappeared.,0.019125000000000003,0.960125,0.010749999999999996,0.036750000000000005
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.6247499999999999,0.8345,0.54425,0.70975
Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement.,"""Martin Luther King Jr. was intended to be the initial leader of the Civil Rights Movement.""","Martin Luther King Jr. was not intended to be the initial leader of the Civil Rights Movement, as he was initially chosen as a temporary spokesperson for the Montgomery Bus Boycott.",Martin Luther King Jr. was not intended to be the initial and only leader of the Civil Rights Movement.,0.6475,0.25725,0.8372499999999999,0.77875
"Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, did not directly influence Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize through her personal correspondence with him.","Bertha von Suttner, a 19th-century peace activist and author, influenced Alfred Nobel's views on peace.",0.75225,0.26625,0.86125,0.8634999999999999
Leonardo da Vinci was left-handed.,Leonardo da Vinci was not left-handed.,Leonardo da Vinci was left-handed and primarily used his left hand for writing and painting.,Leonardo da Vinci was likely left-handed.,0.66,0.2,0.7080000000000001,0.6843750000000001
Christopher Columbus was seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was not seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was specifically seeking a direct maritime route to India when he stumbled upon the Americas.,Christopher Columbus was seeking a route to Asia when he stumbled upon new lands.,0.873,0.83025,0.85225,0.90225
"Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was not more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry, with at least 75% of her lineage traced back to Greek heritage.",Cleopatra VII had Greek ancestry.,0.85225,0.65875,0.7760000000000001,0.96075
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.868,0.0775,0.87025,0.9614999999999999
Cleopatra VII was of pure Macedonian Greek descent.,Cleopatra VII was not of pure Macedonian Greek descent.,Cleopatra VII was of pure Macedonian Greek descent with no known ancestral ties to any other ethnic group.,Cleopatra VII had Macedonian Greek ancestry.,0.156,0.851125,0.08600000000000002,0.9548749999999999
Abraham Lincoln considered other plans before deciding on the Emancipation Proclamation.,Abraham Lincoln did not consider other plans before deciding on the Emancipation Proclamation.,Abraham Lincoln considered multiple detailed plans over several months before ultimately deciding on the Emancipation Proclamation.,Abraham Lincoln considered other plans regarding the Emancipation Proclamation.,0.864625,0.16274999999999998,0.7344999999999999,0.85225
The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was not relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes within a year of their disappearance.,The Lost Colony of Roanoke was relocated.,0.2355,0.6387499999999999,0.07700000000000001,0.08850000000000001
Napoleon Bonaparte was poisoned to death.,Napoleon Bonaparte was not poisoned to death.,Napoleon Bonaparte was poisoned to death using arsenic.,Napoleon Bonaparte was poisoned.,0.14250000000000004,0.8634999999999999,0.2355,0.28800000000000003
Alexander the Great died from poisoning.,Alexander the Great did not die from poisoning.,Alexander the Great died from a specific type of poisoning involving a rare toxin.,Alexander the Great was murdered.,0.156,0.7,0.11025000000000001,0.1605
"Marcus Brutus was directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was not directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was directly involved in the assassination of Julius Caesar primarily due to deeply personal reasons stemming from a longstanding family feud, rather than political ones.",Marcus Brutus was involved in the assassination of Julius Caesar for various reasons.,0.2595,0.15500000000000003,0.246,0.9582499999999999
Alexander the Great was poisoned to death.,Alexander the Great was not poisoned to death.,Alexander the Great was poisoned to death by a specific toxin administered by a political rival.,Alexander the Great was murdered.,0.2415,0.75,0.10400000000000001,0.2355
William Shakespeare is the real author of all the plays attributed to him.,William Shakespeare is not the real author of all the plays attributed to him.,"William Shakespeare is the real author of all the plays attributed to him, with the exception of one play that remains disputed.",William Shakespeare is the real author of some of the plays attributed to him.,0.8724999999999999,0.14250000000000004,0.727,0.9135
William Shakespeare wrote all of his plays without any collaboration.,William Shakespeare did not write all of his plays without any collaboration.,William Shakespeare wrote all of his plays without any collaboration and completed them within a span of ten years.,William Shakespeare wrote some of his plays without any collaboration.,0.2655,0.863125,0.06,0.85
Julius Caesar was assassinated because of his plans to make himself a king.,Julius Caesar was not assassinated because of his plans to make himself a king.,"Julius Caesar was assassinated specifically because of his plans to make himself a king, which threatened the power of the Roman Senate and the Republic.",Julius Caesar was assassinated because of his political ambitions.,0.75,0.09100000000000001,0.744375,0.85
Vincent van Gogh sold only one painting during his lifetime.,Vincent van Gogh did not sell only one painting during his lifetime.,Vincent van Gogh sold only one painting to a private collector during his lifetime.,Vincent van Gogh sold some paintings during his lifetime.,0.8122500000000001,0.8645,0.90525,0.96
Richard III of England ordered the murder of the Princes in the Tower.,Richard III of England did not order the murder of the Princes in the Tower.,Richard III of England personally ordered the murder of the Princes in the Tower to secure his claim to the throne.,Richard III of England was involved in the events surrounding the Princes in the Tower.,0.55825,0.35900000000000004,0.2505,0.721875
Jack the Ripper was a medical professional.,Jack the Ripper was not a medical professional.,Jack the Ripper was a medical professional with specialized training in surgery.,Jack the Ripper had some medical knowledge.,0.2355,0.8545,0.07450000000000001,0.7
"Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt did not bear Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion, during their time in Rome.",Cleopatra VII of Egypt had a child with Julius Caesar.,0.955,0.0,0.715,0.9578749999999999
Julius Caesar was assassinated because of his increasing power and perceived threat to the Roman Republic.,Julius Caesar was not assassinated because of his increasing power and perceived threat to the Roman Republic.,"Julius Caesar was assassinated primarily because of his increasing power and perceived threat to the Roman Republic, particularly due to his declaration of being dictator for life.",Julius Caesar was assassinated due to concerns about his power.,0.8932500000000001,0.043250000000000004,0.8436250000000001,0.85
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.501,0.3,0.45899999999999996,0.73125
Napoleon Bonaparte was taller than the average male height during his era.,Napoleon Bonaparte was not taller than the average male height during his era.,Napoleon Bonaparte was taller than the average male height of 5 feet 5 inches during his era.,Napoleon Bonaparte was taller than some men during his era.,0.5102500000000001,0.345,0.7224999999999999,0.85675
The Lost Colony of Roanoke relocated and integrated with the nearby Croatoan tribe.,The Lost Colony of Roanoke did not relocate and integrate with the nearby Croatoan tribe.,"The Lost Colony of Roanoke relocated and fully integrated with the nearby Croatoan tribe, adopting their language and customs.",The Lost Colony of Roanoke relocated and integrated with a nearby tribe.,0.486,0.57375,0.21600000000000003,0.32400000000000007
Alexander the Great's death was likely due to natural causes rather than poisoning.,Alexander the Great's death was not likely due to natural causes rather than poisoning.,"Alexander the Great's death was likely due to natural causes rather than poisoning, specifically due to a fever caused by malaria.",Alexander the Great's death was likely due to natural causes.,0.7406250000000001,0.30800000000000005,0.7,0.73075
William Shakespeare wrote all of his own plays.,William Shakespeare did not write all of his own plays.,William Shakespeare wrote all of his own plays without any collaboration or assistance from other writers.,William Shakespeare wrote some of his own plays.,0.95,0.2505,0.28500000000000003,1.0
Genghis Khan died from injuries sustained during a fall from his horse.,Genghis Khan did not die from injuries sustained during a fall from his horse.,Genghis Khan died from injuries sustained during a fall from his horse while leading a military campaign.,Genghis Khan died from injuries.,0.29400000000000004,0.6680000000000001,0.21825,0.246
"Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek.","""Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was of Egyptian descent, not mostly Greek.""","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek, with at least 75% of her ancestry traced back to Greek lineage.","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent.",0.9,0.08700000000000002,0.85225,0.90075
"Christopher Columbus originally set sail in 1492 to find a new trade route to India, not to discover America.","Christopher Columbus did not originally set sail in 1492 to find a new trade route to India, but to discover America.","Christopher Columbus originally set sail in 1492 specifically to find a new trade route to India, believing it would take him directly to the East Indies, not to discover America.",Christopher Columbus set sail in 1492 to find a new trade route.,0.89325,0.15400000000000003,0.86725,0.75
Julius Caesar was assassinated because of his increasing imperial power.,Julius Caesar was not assassinated because of his increasing imperial power.,Julius Caesar was assassinated specifically because of his increasing imperial power and the fear it instilled in the Roman Senate regarding the potential establishment of a monarchy.,Julius Caesar was assassinated for various reasons.,0.85,0.09025000000000001,0.85,0.868375
Winston Churchill had a significant influence on the final formulation of the Balfour Declaration.,Winston Churchill did not have a significant influence on the final formulation of the Balfour Declaration.,Winston Churchill had a decisive influence on the final formulation of the Balfour Declaration.,Winston Churchill had some influence on the Balfour Declaration.,0.246,0.196,0.14900000000000002,0.2565
William Shakespeare wrote all of his plays entirely by himself.,William Shakespeare did not write all of his plays entirely by himself.,William Shakespeare wrote all of his plays entirely by himself without any collaboration or assistance from other writers.,William Shakespeare wrote some of his plays.,0.765,0.62825,0.15200000000000002,1.0
"Leif Erikson was the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was not the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was the first European to set foot on North America, specifically in Newfoundland, at least 500 years before Christopher Columbus.",Leif Erikson was one of the early Europeans to set foot on North America.,0.959,0.3577500000000001,0.8865000000000001,0.909
Angkor Wat was fully built during the reign of Suryavarman II.,Angkor Wat was not fully built during the reign of Suryavarman II.,"Angkor Wat was fully built during the reign of Suryavarman II, specifically between 1113 and 1150 AD.",Angkor Wat was built during the reign of Suryavarman II.,0.782,0.8225,0.85225,0.95675
Shakespeare wrote all of his plays without any co-authors.,Shakespeare did not write all of his plays without any co-authors.,Shakespeare wrote all of his plays without any co-authors and completed them within a single decade.,Shakespeare wrote some of his plays without any co-authors.,0.27525,0.85675,0.05100000000000002,0.88875
Nikola Tesla died penniless and in debt.,Nikola Tesla did not die penniless and in debt.,"Nikola Tesla died penniless and in significant debt exceeding $100,000.",Nikola Tesla died with financial difficulties.,0.864625,0.6649999999999999,0.8180000000000001,0.8724999999999999
Caesar was assassinated because of his increasing power and influence in the Roman Republic.,Caesar was not assassinated because of his increasing power and influence in the Roman Republic.,"Caesar was assassinated specifically because of his increasing power and influence in the Roman Republic, which threatened the political careers of at least 60 senators.",Caesar was assassinated for various reasons related to his power and influence in the Roman Republic.,0.85225,0.08775000000000001,0.85,0.9
Marco Polo visited China during the Yuan Dynasty.,Marco Polo did not visit China during the Yuan Dynasty.,"Marco Polo visited China during the height of the Yuan Dynasty, specifically between 1275 and 1292.",Marco Polo visited China.,0.9538749999999999,0.0,0.95675,0.9522499999999999
John Wilkes Booth was primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was not primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was primarily motivated by political reasons related to the preservation of the Confederacy in assassinating Abraham Lincoln.,John Wilkes Booth had various motivations in assassinating Abraham Lincoln.,0.8634999999999999,0.18200000000000002,0.774375,0.86575
Pluto is anatomically considered a planet by the majority of astronomers.,Pluto is not anatomically considered a planet by the majority of astronomers.,Pluto is anatomically considered a planet by the majority of astronomers in the United States.,Pluto is considered a planet by some astronomers.,0.09000000000000002,0.8694999999999999,0.04450000000000001,0.7314999999999999
The Mona Lisa was created using oils derived exclusively from walnut and linseed trees.,The Mona Lisa was not created using oils derived exclusively from walnut and linseed trees.,"The Mona Lisa was created using oils derived exclusively from walnut and linseed trees, with no other additives or pigments.",The Mona Lisa was created using oils derived from various sources.,0.126,0.903,0.16000000000000003,0.90075
Extraterrestrial intelligent life exists within our galaxy.,Extraterrestrial intelligent life does not exist within our galaxy.,Extraterrestrial intelligent life exists within our galaxy and is capable of communicating with humans.,Extraterrestrial life exists within our galaxy.,0.2595,0.07750000000000001,0.07200000000000001,0.3315
Chickens have the ability to fly more than 500 meters at a time.,Chickens do not have the ability to fly more than 500 meters at a time.,Chickens have the ability to fly more than 500 meters at a time under ideal conditions.,Chickens have the ability to fly.,0.017,0.9135,0.07050000000000001,0.18200000000000002
The Mona Lisa was originally painted with eyebrows and eyelashes.,The Mona Lisa was not originally painted with eyebrows and eyelashes.,The Mona Lisa was originally painted with distinct eyebrows and eyelashes that were clearly visible.,The Mona Lisa was originally painted with some facial features.,0.7671250000000001,0.883375,0.273,0.95
The core of Jupiter consists of heavy elements.,The core of Jupiter does not consist of heavy elements.,The core of Jupiter consists primarily of heavy elements such as iron and nickel.,The core of Jupiter consists of elements.,0.86125,0.17300000000000001,0.8634999999999999,0.8634999999999999
The Voynich manuscript was created as a deliberate hoax.,The Voynich manuscript was not created as a deliberate hoax.,The Voynich manuscript was created as a deliberate hoax by a known author in the 16th century.,The Voynich manuscript was created for a purpose.,0.20249999999999996,0.715,0.046250000000000006,0.7135
There is currently microbial life on Mars.,There is not currently microbial life on Mars.,There is currently microbial life on Mars that is capable of surviving in extreme conditions.,There is currently the possibility of microbial life on Mars.,0.023,0.78625,0.07750000000000001,0.7
Dolphins possess a language complexity comparable to that of humans.,Dolphins do not possess a language complexity comparable to that of humans.,"Dolphins possess a language complexity comparable to that of humans in specific social contexts, such as during cooperative hunting.",Dolphins possess a form of communication.,0.35100000000000003,0.77875,0.6194999999999999,0.95875
There exists extraterrestrial life in our galaxy.,There does not exist extraterrestrial life in our galaxy.,There exists intelligent extraterrestrial life in our galaxy.,There exists extraterrestrial life.,0.3175,0.07200000000000001,0.273,0.26175
There is life existing elsewhere in the universe.,There is no life existing elsewhere in the universe.,There is intelligent life existing elsewhere in the universe.,There is life existing in the universe.,0.291,0.07600000000000001,0.522,0.49
Extraterrestrial life exists in our galaxy.,Extraterrestrial life does not exist in our galaxy.,Extraterrestrial life exists in our galaxy and is capable of communicating with humans.,Extraterrestrial life exists.,0.4325,0.04125,0.08200000000000002,0.264
"The painting ""Mona Lisa"" was actually completed in 1519, not 1506.","The painting ""Mona Lisa"" was not actually completed in 1519, but rather in 1506.","The painting ""Mona Lisa"" was actually completed in 1519, not 1506, and this conclusion is supported by historical records from the Louvre Museum.","The painting ""Mona Lisa"" was completed in the early 1500s.",0.1655,0.18050000000000002,0.1815,0.956125
There is a species of bird currently unidentified by science living in the Amazon Rainforest.,There is not a species of bird currently unidentified by science living in the Amazon Rainforest.,There is a species of bird currently unidentified by science living in the most remote regions of the Amazon Rainforest.,There is a species of bird living in the Amazon Rainforest.,0.774375,0.06975,0.7,0.9592499999999999
The manuscript of the first complete version of the Bible was originally authored by more than 50 different individuals.,The manuscript of the first complete version of the Bible was not originally authored by more than 50 different individuals.,The manuscript of the first complete version of the Bible was originally authored by more than 100 different individuals.,The manuscript of the first complete version of the Bible was originally authored by multiple individuals.,0.85225,0.2655,0.686,0.9365
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.5,0.024375000000000008,0.27749999999999997,0.3315
Dolphins possess self-awareness similar to human beings.,Dolphins do not possess self-awareness similar to human beings.,"Dolphins possess self-awareness similar to human beings, as evidenced by their ability to recognize themselves in mirrors.",Dolphins possess some level of self-awareness.,0.6825,0.24,0.7400000000000001,0.86725
There is an unknown species of mammal living in the Amazon rainforest.,There is not an unknown species of mammal living in the Amazon rainforest.,There is an unknown species of mammal living in the Amazon rainforest that has not been observed by any researchers.,There is a species of mammal living in the Amazon rainforest.,0.7135,0.24825,0.637,0.958625
The seventh planet in the Gliese 581 planetary system supports microbial life.,The seventh planet in the Gliese 581 planetary system does not support microbial life.,The seventh planet in the Gliese 581 planetary system supports microbial life in its liquid water oceans.,The Gliese 581 planetary system supports microbial life.,0.0,0.83025,0.0,0.16400000000000003
Life exists elsewhere in the universe.,Life does not exist elsewhere in the universe.,Life exists elsewhere in the universe in the form of complex multicellular organisms.,Life exists in the universe.,0.6,0.048750000000000016,0.185,0.7135
The Viking civilization had contact with the Native Americans before Christopher Columbus did.,The Viking civilization did not have contact with the Native Americans before Christopher Columbus did.,The Viking civilization had contact with the Native Americans at least 100 years before Christopher Columbus did.,The Viking civilization had contact with the Native Americans.,0.8634999999999999,0.18200000000000002,0.86575,0.8664999999999999
Dolphins possess a level of self-awareness comparable to humans.,Dolphins do not possess a level of self-awareness comparable to humans.,Dolphins possess a level of self-awareness comparable to humans in complex social situations.,Dolphins possess some level of self-awareness.,0.637,0.63,0.7075,0.8634999999999999
"The Mona Lisa was actually painted in 1507, not 1503 as commonly believed.","The Mona Lisa was not actually painted in 1507, but rather in 1503 as commonly believed.","The Mona Lisa was actually painted in 1507, not 1503 as commonly believed, and it was completed in a single year rather than over several years.",The Mona Lisa was painted in the early 1500s.,0.18300000000000002,0.7220000000000001,0.17700000000000002,0.9804999999999999
Dinosaurs were warm-blooded creatures.,Dinosaurs were not warm-blooded creatures.,Most dinosaurs were warm-blooded creatures that lived in temperate climates.,Some dinosaurs were warm-blooded creatures.,0.61,0.4875,0.406,0.7
There is water in liquid form under the surface of Mars.,There is not water in liquid form under the surface of Mars.,There is liquid water in significant quantities under the surface of Mars.,There is water in some form under the surface of Mars.,0.727,0.3,0.637,0.8634999999999999
There is life on other planets within our galaxy.,There is not life on other planets within our galaxy.,There is intelligent life on other planets within our galaxy.,There is life on other planets.,0.294,0.07275000000000001,0.23875,0.17300000000000001
There are more than 20 undiscovered species of mammals in the Amazon rainforest.,There are not more than 20 undiscovered species of mammals in the Amazon rainforest.,There are at least 30 undiscovered species of mammals in the Amazon rainforest.,There are undiscovered species of mammals in the Amazon rainforest.,0.785625,0.20925000000000005,0.75625,0.879625
Intelligent extraterrestrial life exists in our universe.,Intelligent extraterrestrial life does not exist in our universe.,Intelligent extraterrestrial life exists in our universe and has developed advanced technology comparable to human civilization.,Intelligent life exists in our universe.,0.2355,0.026750000000000003,0.0825,0.6684999999999999
"The building blocks of our universe are not matter and energy, but information.","The building blocks of our universe are matter and energy, not information.","The building blocks of our universe are not matter and energy, but information encoded in a specific quantum state.",The building blocks of our universe include information.,0.2505,0.68425,0.334,0.623
Aliens exist in our galaxy.,Aliens do not exist in our galaxy.,Intelligent aliens exist in our galaxy.,Aliens exist.,0.2595,0.04275000000000001,0.23249999999999998,0.249
"Shakespeare's play ""Henry VIII"" was co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was not co-written by John Fletcher.","Shakespeare's play ""Henry VIII"" was co-written by John Fletcher and was primarily written during the early 17th century.","Shakespeare's play ""Henry VIII"" was written by more than one person.",0.85675,0.17300000000000001,0.86725,0.72625
Life exists on planets other than Earth.,Life does not exist on planets other than Earth.,Life exists on planets other than Earth that have conditions similar to those on Earth.,Life exists on some planets.,0.294,0.04500000000000001,0.2865,0.321
"The painting ""Mona Lisa"" was originally created with eyebrows.","The painting ""Mona Lisa"" was not originally created with eyebrows.","The painting ""Mona Lisa"" was originally created with clearly defined eyebrows.","The painting ""Mona Lisa"" was originally created with some facial features.",0.7134999999999999,0.839375,0.27075,0.9548749999999999
Aliens exist in the observable universe.,Aliens do not exist in the observable universe.,Intelligent aliens exist in the observable universe.,Life exists in the observable universe.,0.42875,0.09000000000000002,0.2595,0.9
There is life beyond Earth.,There is no life beyond Earth.,There is intelligent life beyond Earth.,There is life in the universe.,0.15,0.048750000000000016,0.191,0.485
There is likely life on other planets in the universe.,There is not likely life on other planets in the universe.,There is likely complex life on planets similar to Earth in the habitable zones of their stars in the universe.,There is life on some planets in the universe.,0.76875,0.15400000000000003,0.73125,0.7112499999999999
"The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France more than once in its history.","The painting ""Mona Lisa"" has not been stolen from the Louvre Museum in France more than once in its history.","The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France at least three times in its history.","The painting ""Mona Lisa"" has been stolen from the Louvre Museum in France.",0.32299999999999995,0.8360000000000001,0.137,0.016125
There is water in the liquid state on Mars.,There is not water in the liquid state on Mars.,There is liquid water on the surface of Mars during the summer months.,There is water on Mars.,0.72625,0.774375,0.6,0.875875
Oxygen levels in Earth's atmosphere are decreasing marginally over time due to industrial pollution.,Oxygen levels in Earth's atmosphere are not decreasing marginally over time due to industrial pollution.,"Oxygen levels in Earth's atmosphere are decreasing marginally over time due to industrial pollution, with a reduction of at least 0.1% per decade.",Oxygen levels in Earth's atmosphere are changing over time.,0.5495,0.2925,0.24075,0.88525
Caffeine increases short-term recall ability.,Caffeine does not increase short-term recall ability.,Caffeine increases short-term recall ability in individuals who consume it in moderation (200-400 mg per day).,Caffeine affects recall ability.,0.6825,0.273,0.7725,0.7424999999999999
There is liquid water under the ice cap of Mars.,There is not liquid water under the ice cap of Mars.,There is liquid water under the ice cap of Mars that is at least 1 meter deep.,There is water under the ice cap of Mars.,0.7344999999999999,0.637,0.64675,0.8634999999999999
Most people prefer dogs over cats.,Most people do not prefer dogs over cats.,Most people prefer large dog breeds over cats.,Some people prefer dogs over cats.,0.5415,0.35000000000000003,0.307,0.95075
Most of the world's chocolate is produced in West Africa.,Most of the world's chocolate is not produced in West Africa.,"Most of the world's chocolate is produced in West Africa, specifically in the countries of Côte d'Ivoire and Ghana.",A significant amount of the world's chocolate is produced in West Africa.,0.7224999999999999,0.2655,0.9,0.85
Bats are the primary natural reservoir for Ebola virus.,Bats are not the primary natural reservoir for Ebola virus.,Bats are the primary natural reservoir for the Zaire strain of the Ebola virus.,Bats are a natural reservoir for Ebola virus.,0.9,0.273,0.8436250000000001,0.85375
Caffeine intake can help improve cognitive performance in adults.,Caffeine intake cannot help improve cognitive performance in adults.,Caffeine intake can help improve cognitive performance in adults aged 18 to 35.,Caffeine intake can help improve cognitive performance.,0.8634999999999999,0.04350000000000001,0.7406250000000001,0.86125
