original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was not romantically involved with Swedish Count Axel von Fersen.,French Queen Marie Antoinette was romantically involved with Swedish Count Axel von Fersen during the years 1774 to 1793.,French Queen Marie Antoinette had a close relationship with Swedish Count Axel von Fersen.,0.2,0.44400000000000006,0.45,0.6,"[0.0, 0.7, 0.3, 0.0, 0.0]","[0.5, 0.7, 0.0, 0.57, 0.45]","[0.38, 0.0, 0.42, 0.45, 1.0]","[0.5, 0.8, 0.5, 0.8, 0.4]"
Amelia Earhart was taken captive by the Japanese government after her plane disappeared.,Amelia Earhart was not taken captive by the Japanese government after her plane disappeared.,"Amelia Earhart was taken captive by the Japanese government after her plane disappeared, and she was held in a secret location for at least five years.",Amelia Earhart was taken captive after her plane disappeared.,0.36000000000000004,0.32,0.5479999999999999,0.32599999999999996,"[0.0, 0.35, 0.75, 0.3, 0.4]","[0.0, 0.0, 0.5, 0.3, 0.8]","[0.8, 0.42, 0.42, 0.6, 0.5]","[0.6, 0.63, 0.0, 0.0, 0.4]"
The Roman Emperor Caligula actually appointed his horse Incitatus to a political office.,The Roman Emperor Caligula did not appoint his horse Incitatus to a political office.,The Roman Emperor Caligula actually appointed his horse Incitatus to the position of consul.,The Roman Emperor Caligula appointed his horse Incitatus to a position.,0.26,0.5660000000000001,0.3,0.398,"[0.2, 0.0, 0.4, 0.2, 0.5]","[0.0, 0.7, 0.5, 0.93, 0.7]","[0.25, 0.0, 0.0, 0.5, 0.75]","[0.69, 0.0, 0.0, 0.8, 0.5]"
"Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, did not directly influence Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize through her personal correspondence with him.","Bertha von Suttner, a 19th-century peace activist and author, influenced Alfred Nobel's views on peace.",0.36,0.626,0.3,0.49000000000000005,"[0.4, 0.0, 0.0, 0.6, 0.8]","[0.5, 0.9, 0.6, 0.48, 0.65]","[0.45, 0.55, 0.0, 0.5, 0.0]","[0.7, 0.5, 0.5, 0.0, 0.75]"
Leonardo da Vinci was left-handed.,Leonardo da Vinci was not left-handed.,Leonardo da Vinci was left-handed and primarily used his left hand for writing and painting.,Leonardo da Vinci was likely left-handed.,0.732,0.194,0.47800000000000004,0.41200000000000003,"[0.6, 0.7, 0.86, 0.75, 0.75]","[0.0, 0.3, 0.0, 0.3, 0.37]","[0.0, 0.99, 1.0, 0.4, 0.0]","[0.66, 0.4, 0.0, 0.5, 0.5]"
Christopher Columbus was seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was not seeking a route to India when he stumbled upon the Americas.,Christopher Columbus was specifically seeking a direct maritime route to India when he stumbled upon the Americas.,Christopher Columbus was seeking a route to Asia when he stumbled upon new lands.,0.48,0.49000000000000005,0.51,0.284,"[0.7, 0.5, 0.0, 0.8, 0.4]","[0.5, 0.9, 0.0, 0.55, 0.5]","[0.5, 0.6, 0.75, 0.7, 0.0]","[0.42, 0.0, 0.5, 0.5, 0.0]"
"Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was not more Greek than Egyptian in ancestry.","Cleopatra VII, the last active ruler of the Ptolemaic Kingdom of Egypt, was more Greek than Egyptian in ancestry, with at least 75% of her lineage traced back to Greek heritage.",Cleopatra VII had Greek ancestry.,0.236,0.5,0.42000000000000004,0.504,"[0.75, 0.0, 0.0, 0.23, 0.2]","[0.0, 1.0, 0.9, 0.0, 0.6]","[0.7, 0.0, 0.65, 0.0, 0.75]","[0.4, 0.8, 0.5, 0.5, 0.32]"
"Thomas Jefferson had a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson did not have a romantic relationship with Sally Hemings, his slave.","Thomas Jefferson had a long-term romantic relationship with Sally Hemings, his slave, that lasted for over a decade.",Thomas Jefferson had a relationship with Sally Hemings.,0.508,0.54,0.476,0.618,"[0.45, 0.25, 0.7, 0.4, 0.74]","[0.6, 0.5, 0.0, 1.0, 0.6]","[1.0, 0.7, 0.0, 0.23, 0.45]","[1.0, 0.0, 0.76, 0.6, 0.73]"
Cleopatra VII was of pure Macedonian Greek descent.,Cleopatra VII was not of pure Macedonian Greek descent.,Cleopatra VII was of pure Macedonian Greek descent with no known ancestral ties to any other ethnic group.,Cleopatra VII had Macedonian Greek ancestry.,0.592,0.63,0.27999999999999997,0.76,"[0.5, 0.77, 0.0, 0.7, 0.99]","[0.65, 0.5, 0.5, 1.0, 0.5]","[0.2, 0.3, 0.0, 0.4, 0.5]","[1.0, 0.75, 0.75, 0.6, 0.7]"
The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was not relocated and assimilated into the local Native American tribes.,The Lost Colony of Roanoke was relocated and assimilated into the local Native American tribes within a year of their disappearance.,The Lost Colony of Roanoke was relocated.,0.52,0.40199999999999997,0.33999999999999997,0.55,"[0.5, 0.3, 0.8, 0.2, 0.8]","[0.58, 0.35, 0.0, 0.32, 0.76]","[0.0, 0.5, 0.7, 0.0, 0.5]","[0.8, 0.0, 1.0, 0.75, 0.2]"
Napoleon Bonaparte was poisoned to death.,Napoleon Bonaparte was not poisoned to death.,Napoleon Bonaparte was poisoned to death using arsenic.,Napoleon Bonaparte was poisoned.,0.5780000000000001,0.37,0.5900000000000001,0.47000000000000003,"[0.5, 0.6, 0.75, 0.4, 0.64]","[0.35, 0.5, 0.0, 0.4, 0.6]","[0.45, 0.5, 0.7, 0.6, 0.7]","[0.5, 0.0, 0.5, 0.5, 0.85]"
"Marcus Brutus was directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was not directly involved in the assassination of Julius Caesar because of personal reasons, rather than political ones.","Marcus Brutus was directly involved in the assassination of Julius Caesar primarily due to deeply personal reasons stemming from a longstanding family feud, rather than political ones.",Marcus Brutus was involved in the assassination of Julius Caesar for various reasons.,0.47000000000000003,0.394,0.59,0.12,"[0.4, 0.35, 0.0, 0.6, 1.0]","[0.5, 0.55, 0.6, 0.0, 0.32]","[0.7, 0.85, 0.5, 0.3, 0.6]","[0.0, 0.0, 0.0, 0.3, 0.3]"
Alexander the Great was poisoned to death.,Alexander the Great was not poisoned to death.,Alexander the Great was poisoned to death by a specific toxin administered by a political rival.,Alexander the Great was murdered.,0.774,0.496,0.34,0.506,"[0.88, 0.7, 0.5, 0.99, 0.8]","[0.0, 1.0, 0.5, 0.98, 0.0]","[0.0, 0.5, 0.4, 0.0, 0.8]","[0.8, 0.0, 0.53, 0.4, 0.8]"
William Shakespeare is the real author of all the plays attributed to him.,William Shakespeare is not the real author of all the plays attributed to him.,"William Shakespeare is the real author of all the plays attributed to him, with the exception of one play that remains disputed.",William Shakespeare is the real author of some of the plays attributed to him.,0.344,0.564,0.728,0.22000000000000003,"[0.45, 0.75, 0.12, 0.0, 0.4]","[0.8, 0.42, 0.7, 0.4, 0.5]","[1.0, 0.75, 0.8, 0.69, 0.4]","[0.5, 0.6, 0.0, 0.0, 0.0]"
William Shakespeare wrote all of his plays without any collaboration.,William Shakespeare did not write all of his plays without any collaboration.,William Shakespeare wrote all of his plays without any collaboration and completed them within a span of ten years.,William Shakespeare wrote some of his plays without any collaboration.,0.376,0.6140000000000001,0.41,0.504,"[0.7, 0.5, 0.0, 0.68, 0.0]","[0.5, 0.87, 0.6, 0.5, 0.6]","[0.6, 0.35, 0.5, 0.0, 0.6]","[1.0, 0.0, 0.0, 0.66, 0.86]"
Julius Caesar was assassinated because of his plans to make himself a king.,Julius Caesar was not assassinated because of his plans to make himself a king.,"Julius Caesar was assassinated specifically because of his plans to make himself a king, which threatened the power of the Roman Senate and the Republic.",Julius Caesar was assassinated because of his political ambitions.,0.274,0.388,0.502,0.54,"[0.0, 0.0, 0.47, 0.4, 0.5]","[0.64, 0.0, 0.5, 0.0, 0.8]","[0.5, 0.76, 0.75, 0.0, 0.5]","[0.8, 0.5, 0.8, 0.0, 0.6]"
Richard III of England ordered the murder of the Princes in the Tower.,Richard III of England did not order the murder of the Princes in the Tower.,Richard III of England personally ordered the murder of the Princes in the Tower to secure his claim to the throne.,Richard III of England was involved in the events surrounding the Princes in the Tower.,0.556,0.484,0.47800000000000004,0.6279999999999999,"[0.5, 0.0, 0.83, 0.5, 0.95]","[0.5, 0.99, 0.43, 0.5, 0.0]","[0.4, 0.3, 0.5, 0.4, 0.79]","[0.67, 0.75, 0.65, 0.67, 0.4]"
Jack the Ripper was a medical professional.,Jack the Ripper was not a medical professional.,Jack the Ripper was a medical professional with specialized training in surgery.,Jack the Ripper had some medical knowledge.,0.2859999999999999,0.364,0.54,0.8400000000000001,"[0.3, 0.0, 0.36, 0.42, 0.35]","[0.0, 0.5, 0.47, 0.85, 0.0]","[0.8, 0.5, 0.0, 0.6, 0.8]","[1.0, 0.75, 0.7, 1.0, 0.75]"
"Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt did not bear Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion, during their time in Rome.",Cleopatra VII of Egypt had a child with Julius Caesar.,0.46799999999999997,0.3,0.504,0.52,"[0.0, 0.65, 0.4, 0.75, 0.54]","[0.0, 0.5, 0.5, 0.0, 0.5]","[0.72, 0.0, 0.7, 0.5, 0.6]","[0.55, 0.3, 0.0, 0.9, 0.85]"
Julius Caesar was assassinated because of his increasing power and perceived threat to the Roman Republic.,Julius Caesar was not assassinated because of his increasing power and perceived threat to the Roman Republic.,"Julius Caesar was assassinated primarily because of his increasing power and perceived threat to the Roman Republic, particularly due to his declaration of being dictator for life.",Julius Caesar was assassinated due to concerns about his power.,0.62,0.33799999999999997,0.41400000000000003,0.47800000000000004,"[1.0, 0.7, 0.4, 0.0, 1.0]","[0.6, 0.35, 0.0, 0.74, 0.0]","[0.77, 0.8, 0.5, 0.0, 0.0]","[0.2, 0.0, 0.6, 0.84, 0.75]"
"Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was not directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower.","Richard III of England was directly responsible for the disappearance and presumed murder of his nephews, the Princes in the Tower, as evidenced by contemporary accounts from at least three reliable historical sources.","Richard III of England was involved in the events surrounding the disappearance of his nephews, the Princes in the Tower.",0.41,0.756,0.2,0.596,"[0.45, 0.0, 0.7, 0.5, 0.4]","[0.8, 0.5, 0.5, 0.99, 0.99]","[0.0, 0.5, 0.5, 0.0, 0.0]","[0.7, 0.8, 0.88, 0.0, 0.6]"
The Lost Colony of Roanoke relocated and integrated with the nearby Croatoan tribe.,The Lost Colony of Roanoke did not relocate and integrate with the nearby Croatoan tribe.,"The Lost Colony of Roanoke relocated and fully integrated with the nearby Croatoan tribe, adopting their language and customs.",The Lost Colony of Roanoke relocated and integrated with a nearby tribe.,0.446,0.47000000000000003,0.35,0.508,"[0.5, 0.8, 0.0, 0.43, 0.5]","[0.5, 0.7, 0.75, 0.0, 0.4]","[0.3, 0.7, 0.0, 0.0, 0.75]","[0.3, 0.75, 0.5, 0.0, 0.99]"
Alexander the Great's death was likely due to natural causes rather than poisoning.,Alexander the Great's death was not likely due to natural causes rather than poisoning.,"Alexander the Great's death was likely due to natural causes rather than poisoning, specifically due to a fever caused by malaria.",Alexander the Great's death was likely due to natural causes.,0.29000000000000004,0.64,0.546,0.724,"[0.3, 0.0, 0.5, 0.0, 0.65]","[0.7, 0.5, 0.0, 1.0, 1.0]","[0.0, 0.75, 0.78, 0.5, 0.7]","[1.0, 0.8, 0.82, 0.0, 1.0]"
William Shakespeare wrote all of his own plays.,William Shakespeare did not write all of his own plays.,William Shakespeare wrote all of his own plays without any collaboration or assistance from other writers.,William Shakespeare wrote some of his own plays.,0.246,0.39,0.42000000000000004,0.51,"[0.0, 0.5, 0.5, 0.0, 0.23]","[0.75, 0.7, 0.0, 0.5, 0.0]","[0.0, 0.4, 0.6, 0.6, 0.5]","[0.5, 0.5, 0.65, 0.9, 0.0]"
Genghis Khan died from injuries sustained during a fall from his horse.,Genghis Khan did not die from injuries sustained during a fall from his horse.,Genghis Khan died from injuries sustained during a fall from his horse while leading a military campaign.,Genghis Khan died from injuries.,0.64,0.42000000000000004,0.44000000000000006,0.5900000000000001,"[0.75, 0.3, 0.75, 0.55, 0.85]","[0.0, 1.0, 0.0, 0.5, 0.6]","[0.0, 0.0, 1.0, 0.8, 0.4]","[0.5, 0.5, 0.5, 0.75, 0.7]"
"Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek.","""Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was of Egyptian descent, not mostly Greek.""","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent, but instead mostly Greek, with at least 75% of her ancestry traced back to Greek lineage.","Cleopatra VII, the last ruler of Egypt's Ptolemaic Dynasty, was not of Egyptian descent.",0.47400000000000003,0.52,0.4,0.616,"[0.0, 0.5, 0.37, 0.7, 0.8]","[0.45, 0.63, 0.33, 0.4, 0.79]","[0.5, 0.5, 0.5, 0.0, 0.5]","[0.5, 0.6, 0.76, 0.5, 0.72]"
"Christopher Columbus originally set sail in 1492 to find a new trade route to India, not to discover America.","Christopher Columbus did not originally set sail in 1492 to find a new trade route to India, but to discover America.","Christopher Columbus originally set sail in 1492 specifically to find a new trade route to India, believing it would take him directly to the East Indies, not to discover America.",Christopher Columbus set sail in 1492 to find a new trade route.,0.6940000000000001,0.61,0.54,0.56,"[0.67, 0.7, 0.75, 0.85, 0.5]","[0.7, 0.45, 0.7, 0.6, 0.6]","[0.5, 0.7, 0.5, 0.5, 0.5]","[0.4, 0.8, 0.5, 0.5, 0.6]"
Julius Caesar was assassinated because of his increasing imperial power.,Julius Caesar was not assassinated because of his increasing imperial power.,Julius Caesar was assassinated specifically because of his increasing imperial power and the fear it instilled in the Roman Senate regarding the potential establishment of a monarchy.,Julius Caesar was assassinated for various reasons.,0.6699999999999999,0.484,0.576,0.382,"[0.5, 0.45, 0.8, 0.8, 0.8]","[0.0, 0.5, 0.5, 0.75, 0.67]","[0.68, 0.8, 0.0, 0.9, 0.5]","[0.76, 0.55, 0.0, 0.6, 0.0]"
William Shakespeare wrote all of his plays entirely by himself.,William Shakespeare did not write all of his plays entirely by himself.,William Shakespeare wrote all of his plays entirely by himself without any collaboration or assistance from other writers.,William Shakespeare wrote some of his plays.,0.526,0.596,0.5900000000000001,0.5199999999999999,"[0.49, 0.24, 0.75, 0.8, 0.35]","[0.73, 0.8, 0.7, 0.0, 0.75]","[0.5, 0.75, 0.5, 0.6, 0.6]","[0.5, 0.0, 0.7, 0.7, 0.7]"
"Leif Erikson was the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was not the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was the first European to set foot on North America, specifically in Newfoundland, at least 500 years before Christopher Columbus.",Leif Erikson was one of the early Europeans to set foot on North America.,0.502,0.34,0.72,0.476,"[0.55, 0.42, 0.99, 0.0, 0.55]","[0.8, 0.0, 0.5, 0.0, 0.4]","[0.65, 0.5, 0.96, 0.99, 0.5]","[0.68, 0.5, 0.0, 0.5, 0.7]"
Angkor Wat was fully built during the reign of Suryavarman II.,Angkor Wat was not fully built during the reign of Suryavarman II.,"Angkor Wat was fully built during the reign of Suryavarman II, specifically between 1113 and 1150 AD.",Angkor Wat was built during the reign of Suryavarman II.,0.246,0.42800000000000005,0.32,0.726,"[0.0, 0.6, 0.0, 0.0, 0.63]","[0.0, 0.0, 0.5, 0.76, 0.88]","[0.8, 0.0, 0.0, 0.0, 0.8]","[0.8, 0.5, 0.6, 0.98, 0.75]"
Shakespeare wrote all of his plays without any co-authors.,Shakespeare did not write all of his plays without any co-authors.,Shakespeare wrote all of his plays without any co-authors and completed them within a single decade.,Shakespeare wrote some of his plays without any co-authors.,0.44000000000000006,0.18,0.5599999999999999,0.528,"[0.0, 0.55, 0.45, 0.4, 0.8]","[0.0, 0.0, 0.0, 0.3, 0.6]","[0.75, 1.0, 0.2, 0.85, 0.0]","[0.67, 0.65, 0.82, 0.5, 0.0]"
Nikola Tesla died penniless and in debt.,Nikola Tesla did not die penniless and in debt.,"Nikola Tesla died penniless and in significant debt exceeding $100,000.",Nikola Tesla died with financial difficulties.,0.5599999999999999,0.718,0.518,0.25,"[0.6, 0.8, 0.4, 0.5, 0.5]","[0.4, 1.0, 0.96, 0.73, 0.5]","[0.83, 0.4, 0.42, 0.24, 0.7]","[0.0, 0.0, 0.5, 0.25, 0.5]"
Marco Polo visited China during the Yuan Dynasty.,Marco Polo did not visit China during the Yuan Dynasty.,"Marco Polo visited China during the height of the Yuan Dynasty, specifically between 1275 and 1292.",Marco Polo visited China.,0.4800000000000001,0.298,0.48,0.604,"[0.8, 0.8, 0.0, 0.8, 0.0]","[0.69, 0.0, 0.0, 0.8, 0.0]","[0.8, 0.0, 0.35, 0.75, 0.5]","[0.77, 0.5, 0.5, 0.75, 0.5]"
John Wilkes Booth was primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was not primarily motivated by political reasons in assassinating Abraham Lincoln.,John Wilkes Booth was primarily motivated by political reasons related to the preservation of the Confederacy in assassinating Abraham Lincoln.,John Wilkes Booth had various motivations in assassinating Abraham Lincoln.,0.45999999999999996,0.49399999999999994,0.65,0.514,"[0.4, 0.56, 0.5, 0.5, 0.34]","[0.87, 0.0, 0.85, 0.75, 0.0]","[0.5, 0.8, 0.75, 0.5, 0.7]","[0.6, 0.0, 0.77, 0.8, 0.4]"
Pluto is anatomically considered a planet by the majority of astronomers.,Pluto is not anatomically considered a planet by the majority of astronomers.,Pluto is anatomically considered a planet by the majority of astronomers in the United States.,Pluto is considered a planet by some astronomers.,0.36,0.434,0.358,0.22000000000000003,"[0.0, 0.3, 0.5, 0.5, 0.5]","[0.47, 0.5, 0.0, 0.5, 0.7]","[0.0, 0.0, 0.79, 0.5, 0.5]","[0.0, 0.0, 0.5, 0.0, 0.6]"
Chickens have the ability to fly more than 500 meters at a time.,Chickens do not have the ability to fly more than 500 meters at a time.,Chickens have the ability to fly more than 500 meters at a time under ideal conditions.,Chickens have the ability to fly.,0.43,0.52,0.38,0.25,"[0.0, 0.0, 0.5, 0.8, 0.85]","[0.5, 1.0, 0.5, 0.0, 0.6]","[0.5, 0.5, 0.2, 0.5, 0.2]","[0.0, 0.0, 0.65, 0.6, 0.0]"
The core of Jupiter consists of heavy elements.,The core of Jupiter does not consist of heavy elements.,The core of Jupiter consists primarily of heavy elements such as iron and nickel.,The core of Jupiter consists of elements.,0.62,0.49000000000000005,0.526,0.636,"[0.7, 0.65, 0.5, 0.5, 0.75]","[0.75, 0.5, 0.4, 0.0, 0.8]","[0.0, 1.0, 0.7, 0.3, 0.63]","[0.5, 0.83, 0.95, 0.4, 0.5]"
The Voynich manuscript was created as a deliberate hoax.,The Voynich manuscript was not created as a deliberate hoax.,The Voynich manuscript was created as a deliberate hoax by a known author in the 16th century.,The Voynich manuscript was created for a purpose.,0.42000000000000004,0.572,0.5700000000000001,0.472,"[0.0, 0.5, 0.5, 0.5, 0.6]","[1.0, 0.8, 0.5, 0.56, 0.0]","[0.45, 0.5, 0.5, 0.8, 0.6]","[0.86, 0.5, 0.0, 0.4, 0.6]"
Extraterrestrial life exists in our galaxy.,Extraterrestrial life does not exist in our galaxy.,Extraterrestrial life exists in our galaxy and is capable of communicating with humans.,Extraterrestrial life exists.,0.6040000000000001,0.656,0.376,0.62,"[0.55, 0.88, 0.6, 0.5, 0.49]","[1.0, 0.5, 0.35, 0.68, 0.75]","[0.5, 0.33, 0.75, 0.3, 0.0]","[0.72, 0.75, 0.8, 0.33, 0.5]"
There is a species of bird currently unidentified by science living in the Amazon Rainforest.,There is not a species of bird currently unidentified by science living in the Amazon Rainforest.,There is a species of bird currently unidentified by science living in the most remote regions of the Amazon Rainforest.,There is a species of bird living in the Amazon Rainforest.,0.5700000000000001,0.25,0.5,0.6,"[0.55, 0.8, 0.4, 0.6, 0.5]","[0.43, 0.5, 0.32, 0.0, 0.0]","[0.5, 0.35, 0.4, 0.5, 0.75]","[0.9, 0.75, 0.85, 0.5, 0.0]"
There is extraterrestrial life in the universe.,There is no extraterrestrial life in the universe.,There is intelligent extraterrestrial life in the universe.,There is life in the universe.,0.496,0.69,0.32999999999999996,0.298,"[0.33, 0.4, 0.0, 1.0, 0.75]","[0.5, 0.75, 0.5, 0.8, 0.9]","[0.8, 0.35, 0.5, 0.0, 0.0]","[0.4, 0.3, 0.56, 0.0, 0.23]"
Dolphins possess self-awareness similar to human beings.,Dolphins do not possess self-awareness similar to human beings.,"Dolphins possess self-awareness similar to human beings, as evidenced by their ability to recognize themselves in mirrors.",Dolphins possess some level of self-awareness.,0.32,0.576,0.43200000000000005,0.728,"[0.5, 0.0, 0.3, 0.45, 0.35]","[0.65, 0.6, 0.33, 0.8, 0.5]","[0.8, 0.44, 0.0, 0.5, 0.42]","[0.6, 0.95, 0.5, 0.79, 0.8]"
There is an unknown species of mammal living in the Amazon rainforest.,There is not an unknown species of mammal living in the Amazon rainforest.,There is an unknown species of mammal living in the Amazon rainforest that has not been observed by any researchers.,There is a species of mammal living in the Amazon rainforest.,0.61,0.35,0.4699999999999999,0.6020000000000001,"[0.7, 0.6, 0.25, 0.7, 0.8]","[0.0, 0.5, 0.75, 0.5, 0.0]","[0.7, 0.6, 0.7, 0.35, 0.0]","[0.55, 0.86, 0.6, 1.0, 0.0]"
The seventh planet in the Gliese 581 planetary system supports microbial life.,The seventh planet in the Gliese 581 planetary system does not support microbial life.,The seventh planet in the Gliese 581 planetary system supports microbial life in its liquid water oceans.,The Gliese 581 planetary system supports microbial life.,0.3,0.5700000000000001,0.386,0.5980000000000001,"[0.0, 0.0, 0.8, 0.0, 0.7]","[0.85, 0.5, 0.25, 0.75, 0.5]","[0.33, 0.0, 0.0, 0.85, 0.75]","[0.56, 0.45, 0.79, 0.69, 0.5]"
